Admin2,Province/State,Country/Region,11-24-2020
,Alberta,Canada,49536
,British Columbia,Canada,28348
,Diamond Princess,Canada,0
,Grand Princess,Canada,13
,Manitoba,Canada,14558
,New Brunswick,Canada,450
,Newfoundland and Labrador,Canada,323
,Northwest Territories,Canada,15
,Nova Scotia,Canada,1227
,Nunavut,Canada,144
,Ontario,Canada,110066
,Prince Edward Island,Canada,69
,Quebec,Canada,134330
,Repatriated Travellers,Canada,13
,Saskatchewan,Canada,6883
,Yukon,Canada,38
