Admin2,Province/State,Country/Region,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021,04-13-2021,04-14-2021,04-15-2021,04-16-2021,04-17-2021,04-18-2021,04-19-2021,04-20-2021,04-21-2021,04-22-2021,04-23-2021,04-24-2021,04-25-2021,04-26-2021,04-27-2021,04-28-2021,04-29-2021,04-30-2021,05-01-2021,05-02-2021,05-03-2021,05-04-2021,05-05-2021,05-06-2021,05-07-2021
,Aguascalientes,Mexico,11083,11186,11209,11225,11226,11230,11235,11245,11271,11271,11933,12288,12513,12779,12905,12905,13082,13509,13850,13932,14042,14083,14291,14593,14750,15011,15129,15159,15252,15296,15438,15576,15683,15771,15820,15840,16028,16068,16086,16098,16238,16250,16440,16499,16522,16638,16742,16805,16869,16954,17021,17097,17104,17292,17363,17455,17562,17612,17691,17713,17752,17906,18096,18161,18286,18443,18501,18519,18739,19001,19001,19445,19782,19857,19940,20172,20433,20725,20873,21004,21037,21065,21077,21251,21251,21450,21507,21536,21640,21799,21921,22046,22115,22192,22202,22212,22290,22400,22490,22556,22616,22621,22668,22765,22870,22942,23002,23081,23087,23102,23179,23273,23339,23415,23459,23462,23471,23591,23651,23708,23776,23841,23849,23858,23868,23964,24050,24098,24154,24206,24227,24278,24347,24392,24473,24590,24653,24653,24779,24880,24931,24936,24945,24951,24973,25027,25092,25165,25216,25338,25341,25353,25414,25479,25532,25605,25660,25666,25669,25701,25747,25781,25813,25853,25856,25868,25903,25963,26000,26037,26060,26062,26067,26103,26137,26154,26179
,Baja California,Mexico,24259,24387,24465,24490,24534,24548,24645,24703,24840,24840,25086,25228,25636,25883,26122,26122,26595,26641,26877,27038,27289,27478,27766,27963,28184,28354,28504,28886,29198,29385,29616,29744,29942,30280,30413,30754,30945,31210,31285,31415,31807,32095,32513,32914,33049,33187,33401,33776,34271,34577,34889,35248,35351,35563,35714,35988,36252,36563,36852,37046,37110,37378,37488,37770,38140,38414,38697,38784,39121,39561,39561,40325,40645,40816,40992,41273,41556,41815,41983,42127,42199,42237,42259,42447,42447,42898,43024,43062,43083,43202,43337,43466,43566,43645,43681,43693,43787,43988,44084,44175,44231,44246,44261,44384,44545,44624,44739,44806,44847,44909,45040,45149,45225,45296,45424,45440,45448,45540,45634,45694,45749,45780,45801,45803,45812,45869,45900,45952,45989,45999,46009,46081,46145,46205,46260,46325,46339,46349,46360,46404,46452,46488,46504,46510,46518,46651,46708,46754,46806,46945,46969,46972,47020,47058,47096,47153,47204,47208,47216,47268,47318,47367,47421,47469,47478,47491,47535,47585,47633,47699,47731,47743,47761,47806,47872,47926,48012
,Baja California Sur,Mexico,13332,13377,13470,13477,13545,13561,13595,13605,13684,13684,13846,13953,14047,14104,14156,14156,14344,14393,14504,14563,14648,14774,14844,14942,14999,15094,15103,15242,15420,15511,15626,15690,15809,15931,16027,16143,16259,16342,16377,16500,16561,16619,16779,16860,17001,17027,17109,17280,17471,17679,17820,17935,18003,18155,18291,18505,18652,18822,19030,19268,19422,19569,19861,20109,20401,20573,20741,20907,21097,21274,21274,21795,22090,22190,22347,22553,22764,22933,23134,23319,23489,23541,23599,23706,23706,24083,24323,24456,24532,24634,24756,24847,25068,25197,25222,25328,25381,25494,25586,25727,25805,25877,25927,25983,26090,26208,26285,26359,26387,26457,26537,26599,26657,26748,26816,26860,26878,26935,26989,27060,27123,27178,27229,27241,27258,27355,27416,27465,27591,27634,27658,27737,27826,27920,27980,28098,28118,28164,28239,28334,28417,28484,28540,28554,28585,28684,28797,28890,28962,29054,29081,29120,29207,29299,29385,29487,29536,29560,29601,29674,29751,29831,29882,29947,29984,30002,30065,30133,30205,30279,30342,30369,30388,30440,30503,30567,30639
,Campeche,Mexico,6596,6603,6609,6627,6645,6651,6656,6661,6673,6673,6703,6715,6723,6733,6748,6748,6768,6785,6801,6811,6831,6835,6853,6866,6884,6891,6900,6921,6932,6950,6960,6975,6993,7003,7024,7043,7060,7073,7084,7100,7118,7137,7158,7176,7189,7208,7216,7233,7243,7259,7273,7286,7288,7306,7312,7333,7349,7364,7385,7406,7422,7440,7454,7481,7516,7527,7552,7578,7604,7643,7643,7718,7750,7773,7800,7827,7861,7888,7918,7954,7962,7980,7990,8017,8017,8060,8085,8097,8123,8146,8155,8177,8212,8239,8256,8287,8300,8323,8342,8356,8372,8387,8400,8412,8429,8448,8463,8474,8481,8495,8517,8542,8556,8579,8596,8604,8617,8635,8657,8673,8687,8695,8707,8725,8734,8755,8774,8789,8803,8810,8824,8834,8846,8864,8880,8895,8904,8915,8928,8958,8971,8992,9007,9021,9033,9049,9058,9072,9084,9099,9111,9121,9136,9146,9161,9173,9184,9193,9199,9208,9227,9241,9263,9283,9364,9416,9462,9480,9500,9512,9541,9547,9562,9581,9596,9615,9636
,Chiapas,Mexico,7613,7608,7616,7618,7627,7628,7633,7647,7657,7657,7676,7690,7695,7707,7715,7715,7732,7740,7750,7755,7771,7788,7798,7822,7827,7849,7858,7874,7889,7908,7914,7942,7963,7977,7985,7998,8019,8040,8052,8067,8084,8103,8125,8154,8169,8182,8219,8228,8250,8287,8293,8318,8337,8371,8408,8433,8454,8480,8504,8525,8559,8597,8613,8634,8675,8701,8766,8786,8807,8869,8869,8985,9070,9127,9165,9196,9232,9259,9279,9313,9331,9350,9364,9390,9390,9471,9540,9602,9630,9647,9670,9689,9708,9726,9727,9759,9775,9820,9827,9856,9886,9894,9898,9918,9936,9960,9978,9991,9995,10001,10020,10040,10062,10071,10090,10097,10101,10126,10140,10161,10177,10198,10226,10229,10233,10258,10265,10285,10294,10303,10313,10323,10334,10344,10362,10389,10401,10404,10422,10447,10462,10470,10489,10507,10511,10527,10542,10560,10576,10620,10635,10637,10657,10673,10689,10713,10725,10728,10732,10754,10766,10774,10797,10824,10833,10838,10865,10882,10901,10924,10949,10957,10976,11007,11026,11039,11062
,Chihuahua,Mexico,24090,24528,24809,24950,25231,25344,25631,26083,26974,26974,27982,28065,28498,28797,29070,29070,29793,29991,30098,30352,30578,30957,31428,31671,32125,32281,32522,32716,32880,33057,33210,33592,33669,33946,34237,34515,34714,34843,35054,35121,35278,35449,35595,35672,35684,35784,35857,36032,36184,36317,36517,36518,36580,36635,36824,36926,37052,37322,37447,37508,37609,37825,37928,38081,38183,38313,38326,38463,38566,38795,38795,39271,39590,39736,39775,40045,40196,40351,40550,40680,40714,40845,40865,41013,41013,41277,41370,41382,41452,41559,41652,41758,41851,41911,41948,41995,42048,42112,42224,42358,42438,42449,42509,42701,42806,42897,43036,43147,43159,43227,43359,43475,43604,43712,43818,43857,43892,44020,44040,44112,44223,44337,44376,44438,44444,44570,44700,44803,44953,44966,44996,45197,45369,45530,45696,45880,45892,45920,46145,46333,46533,46603,46632,46642,46662,46820,47096,47427,47910,48552,48596,48656,48897,49168,49378,49602,49892,49916,49983,50276,50521,50732,51011,51312,51353,51401,51627,51901,52167,52456,52625,52642,52670,52906,53164,53299,53490
,Ciudad de Mexico,Mexico,175946,177396,179134,179791,180210,180621,181913,183253,184636,184636,187229,188343,191201,193819,196028,196028,204448,206204,207699,211007,215006,219465,224291,229418,232009,233577,239006,244062,248976,254543,259553,262794,264330,269226,273444,277733,282691,287682,290051,291639,297345,302199,307235,310843,312342,314260,315748,320251,325364,330273,334137,335746,337068,338311,342928,348421,354011,359312,364770,367491,368957,374850,381152,387517,395506,403501,407254,409551,416989,424666,424666,439547,445982,448750,450590,456507,462892,469098,474355,479292,481327,482472,483608,488328,488328,497070,501240,502482,503290,506748,510630,514415,517866,521478,522875,523677,527111,530465,533825,536058,538974,539990,540628,543728,546877,549785,552532,555189,556135,556885,559842,562559,565417,567778,569851,570719,571315,574062,576521,578835,581406,583698,584531,584927,585348,587760,590327,592456,594301,595046,595468,597673,599593,601373,603039,604468,605041,605454,607167,608872,610654,611766,612417,612753,613058,614446,615993,617436,618837,620617,621287,621687,623164,624799,626047,627326,628622,629218,629527,630819,632255,633423,634752,635689,636109,636344,637401,638536,639655,640705,641559,641997,642270,643067,643861,644697,645512
,Coahuila,Mexico,37136,37352,37494,37653,37742,37797,37891,38068,38279,38279,39098,39486,39908,40333,40566,40566,41524,41727,41948,42138,42410,42693,42963,43269,43450,43642,43826,44053,44282,44579,44875,45102,45280,45425,45667,45977,46397,46696,46821,46947,47132,47465,47852,48093,48196,48364,48492,48772,49126,49427,49685,49852,50007,50198,50572,50976,51354,51755,52251,52554,52873,53078,53450,53906,54388,54746,55081,55256,55619,56193,56193,57183,57452,57819,57995,58264,58790,59351,59862,60185,60370,60487,60563,60789,60789,61370,61630,61765,61826,62066,62434,62688,62859,63084,63143,63175,63275,63481,63635,63764,63980,64016,64042,64220,64369,64547,64636,64750,64795,64818,64936,65048,65139,65274,65346,65385,65394,65475,65475,65613,65676,65726,65750,65762,65772,65857,65916,65991,66041,66061,66070,66149,66232,66329,66458,66527,66563,66574,66633,66715,66719,66735,66743,66747,66755,66827,66894,66929,66971,67217,67231,67243,67307,67385,67431,67481,67540,67553,67568,67625,67668,67708,67755,67794,67791,67800,67854,67887,67976,68025,68044,68073,68079,68117,68133,68166,68222
,Colima,Mexico,6899,6913,6920,6924,6925,6932,6939,6948,6963,6963,7017,7040,7065,7091,7102,7102,7145,7175,7207,7263,7280,7309,7317,7359,7373,7396,7410,7432,7456,7479,7505,7516,7534,7555,7562,7584,7604,7610,7641,7647,7685,7714,7741,7747,7761,7794,7820,7832,7849,7927,7949,8014,8017,8052,8071,8115,8143,8185,8239,8291,8330,8368,8403,8438,8466,8511,8591,8650,8694,8770,8770,8953,9085,9108,9157,9223,9273,9319,9356,9439,9476,9507,9530,9569,9569,9619,9676,9780,9803,9852,9925,9990,10024,10076,10082,10097,10133,10168,10208,10230,10212,10229,10240,10263,10305,10330,10359,10387,10394,10401,10421,10447,10467,10481,10495,10503,10509,10529,10553,10570,10590,10601,10612,10615,10623,10646,10670,10687,10700,10706,10717,10731,10742,10749,10769,10778,10780,10786,10806,10820,10827,10829,10834,10836,10840,10869,10886,10902,10926,10948,10954,10962,10983,11007,11027,11046,11065,11072,11080,11099,11111,11130,11142,11162,11168,11180,11206,11235,11256,11282,11304,11316,11320,11348,11374,11403,11426
,Durango,Mexico,17026,17187,17434,17499,17555,17677,17796,18062,18212,18212,18821,19104,19392,19764,20276,20276,20834,21092,21208,21346,21577,21783,21950,22228,22391,22434,22562,22680,22899,23048,23217,23279,23301,23385,23576,23779,23852,24012,24161,24172,24301,24457,24606,24677,24754,24779,24814,24893,24977,25067,25248,25377,25436,25462,25628,25705,25820,25936,26168,26212,26286,26396,26505,26712,26860,27028,27087,27119,27279,27433,27433,27780,27955,28003,28081,28217,28287,28457,28669,28832,28869,28876,28891,28947,28947,29290,29423,29463,29474,29561,29699,29852,30027,30123,30146,30152,30226,30285,30382,30437,30515,30531,30549,30631,30686,30773,30811,30886,30909,30911,30976,31026,31099,31168,31223,31238,31246,31333,31401,31470,31501,31570,31573,31575,31583,31669,31748,31800,31864,31876,31884,31949,32028,32095,32150,32192,32196,32205,32247,32316,32354,32391,32401,32412,32419,32496,32537,32648,32693,32759,32765,32780,32838,32882,32949,32999,33051,33060,33062,33125,33162,33212,33259,33302,33317,33330,33364,33401,33435,33554,33583,33586,33593,33629,33658,33684,33712
