Admin2,Province/State,Country/Region,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021,04-13-2021,04-14-2021,04-15-2021,04-16-2021,04-17-2021,04-18-2021,04-19-2021,04-20-2021,04-21-2021,04-22-2021,04-23-2021,04-24-2021,04-25-2021,04-26-2021,04-27-2021,04-28-2021,04-29-2021,04-30-2021,05-01-2021,05-02-2021,05-03-2021,05-04-2021,05-05-2021,05-06-2021,05-07-2021
,Guanajuato,Mexico,53279,53638,54017,54257,54433,54609,55040,55320,55967,55967,57286,58020,58944,59618,60030,60030,61473,62073,62552,63274,64253,65131,65976,66516,67124,67644,68236,69188,69826,70711,71581,72211,72849,73257,73815,74591,75587,76282,76922,77341,77557,78148,78812,79837,80161,80583,80911,81433,81957,82517,83520,83813,84049,84609,85350,85781,86483,87379,88344,88669,89334,90049,90793,91820,93000,94272,94939,95394,96588,97793,97793,100177,101423,102139,102976,103828,104532,105498,106371,107064,107381,107803,108179,108483,108483,109788,110658,111088,111345,111876,112530,113160,113650,114118,114348,114426,114946,115261,115858,116329,116774,116938,117063,117395,117845,118368,118787,119183,119363,119423,119841,120295,120636,120957,121427,121621,121752,122103,122461,122743,123016,123474,123659,123733,123749,124143,124533,124788,125233,125346,125374,125686,125960,126328,126638,127076,127183,127211,127404,127725,127898,127970,127992,128041,128076,128241,128446,128647,128801,128963,129001,129023,129138,129323,129437,129562,129685,129711,129744,129838,129949,130050,130140,130230,130265,130287,130399,130520,130643,130731,130812,130823,130838,130920,131005,131042,130968
,Guerrero,Mexico,22800,22856,22911,22961,23030,23065,23094,23104,23112,23112,23251,23314,23371,23455,23518,23518,23608,23701,23811,23850,23901,23980,24057,24109,24165,24243,24303,24353,24417,24501,24588,24670,24723,24773,24864,24978,25012,25144,25249,25301,25424,25474,25539,25593,25640,25685,25746,25869,25925,25974,26024,26125,26197,26308,26353,26481,26524,26624,26775,26944,27052,27170,27307,27527,27748,27956,28125,28257,28547,28772,28772,29406,29656,29773,29895,30204,30486,30856,31103,31330,31457,31599,31691,31867,31867,32299,32511,32656,32827,33040,33211,33402,33599,33796,33913,34019,34153,34280,34398,34548,34658,34707,34755,34868,34986,35067,35185,35279,35317,35355,35439,35561,35702,35802,35885,35973,36007,36111,36219,36318,36430,36501,36534,36546,36564,36676,36777,36882,36983,37023,37039,37127,37221,37328,37419,37477,37509,37522,37597,37696,37766,37817,37845,37870,37884,37956,38089,38154,38259,38343,38373,38419,38480,38581,38691,38776,38873,38888,38921,38998,39088,39151,39244,39305,39343,39382,39442,39519,39577,39654,39712,39737,39780,39847,39932,39997,40061
,Hidalgo,Mexico,17005,17086,17179,17187,17287,17329,17422,17511,17638,17638,17981,18092,18255,18409,18583,18583,18925,19022,19168,19273,19380,19488,19641,19752,19883,20102,20254,20537,20834,20950,21129,21273,21396,21535,21797,21905,22091,22288,22408,22455,22841,23028,23208,23350,23590,23638,23857,24009,24228,24435,24599,24699,24786,24931,25224,25493,25725,26029,26334,26520,26653,26886,27192,27439,27792,28117,28336,28546,28821,29139,29139,29756,30085,30319,30498,30770,31049,31289,31548,31728,31829,31921,32036,32181,32181,32510,32669,32725,32821,32964,33097,33213,33359,33409,33438,33484,33579,33678,33729,33803,33870,33923,33966,34094,34155,34244,34352,34477,34504,34544,34675,34809,34922,35028,35107,35145,35166,35293,35397,35462,35550,35632,35660,35690,35714,35798,35866,35944,36034,36081,36100,36189,36248,36336,36409,36478,36498,36521,36591,36661,36719,36746,36776,36796,36825,36900,37010,37082,37164,37236,37259,37277,37346,37437,37511,37585,37661,37684,37706,37772,37835,37885,37949,38012,38046,38069,38128,38168,38238,38287,38331,38341,38350,38391,38427,38447,38487
,Jalisco,Mexico,37015,37175,37341,37479,37631,37709,37785,37916,38288,38288,38912,39173,39405,39665,39889,39889,40572,40947,41266,41587,42178,42477,43031,43324,43716,44003,44224,44560,44832,45172,45499,45838,46165,46448,46671,47110,47474,47808,48184,48517,48726,49286,49654,49941,50197,50529,50779,51235,51611,51994,52399,52779,52933,53340,53810,54239,54579,55162,55656,56111,56595,57072,57469,58166,58910,59747,60269,60907,61634,62279,62279,64072,65003,65690,66323,67024,67666,68541,69201,69856,70078,70362,70563,70974,70974,71802,72089,72392,72578,72967,73393,73753,74090,74413,74525,74623,74937,75160,75521,75856,76163,76298,76363,76705,77028,77397,77693,77964,78097,78194,78491,78719,78948,79167,79374,79429,79476,79705,79897,80158,80369,80609,80652,80683,80703,80938,81103,81256,81421,81461,81499,81662,81792,81919,82091,82210,82239,82276,82433,82617,82746,82782,82800,82825,82880,83021,83198,83351,83481,83631,83685,83734,83858,83987,84093,84179,84289,84309,84344,84489,84618,84724,84833,84937,84982,85007,85096,85216,85345,85436,85514,85539,85557,85638,85732,85825,85884
,Mexico,Mexico,102510,102791,103240,103394,103448,103516,103755,104068,104341,104341,105470,106211,107339,108472,109218,109218,110779,111180,111699,112660,113557,114492,115499,116599,117013,117654,119071,120284,121562,122885,124094,124966,125628,127301,128747,130015,131405,132641,133179,133823,135837,137348,138802,139895,140641,141115,141947,143488,144923,146199,147443,147922,148276,148901,150012,151455,153001,154171,155570,156494,156965,158250,160020,161564,164366,167190,168194,169105,171125,173452,173452,178259,180558,181383,182039,183865,185808,187955,189751,191471,191963,192396,192800,194299,194299,197319,198614,199135,199361,200473,201816,203108,204460,205654,205957,206257,207337,208488,209581,210534,211447,211705,211918,212970,214011,214988,215795,216698,216915,217109,218073,218962,219888,220661,221397,221584,221759,222603,223370,224175,224881,225477,225660,225760,225871,226608,227410,228018,228582,228765,228864,229545,230212,230870,231360,231879,232012,232113,232689,233538,234161,234395,234542,234620,234754,235312,235917,236428,236913,237788,237961,238299,238792,239331,239725,240198,240693,240823,240919,241356,241813,242180,242530,242784,242895,242981,243315,243654,244002,244255,244538,244629,244721,244953,245277,245541,245817
,Michoacan,Mexico,26434,26546,26677,26871,26900,26951,27009,27079,27150,27150,27559,27623,27695,27748,27884,27884,28913,28355,28496,28592,28697,28822,28971,29112,29255,29389,29527,29595,29765,29910,30145,30231,30378,30530,30636,30760,30922,31197,31383,31448,31779,31947,32115,32161,32301,32466,32671,32823,32972,33134,33235,33368,33523,33749,33943,34136,34492,34712,34887,35202,35331,35520,35791,35920,36274,36692,36847,36973,37264,37638,37638,38043,38474,38632,38814,39020,39268,39559,39792,40135,40315,40395,40473,40637,40637,41059,41243,41302,41401,41507,41650,41818,41895,42019,42088,42107,42195,42306,42374,42501,42574,42662,42688,42742,42804,42939,43027,43112,43184,43224,43293,43385,43462,43550,43663,43722,43743,43803,43888,43975,44066,44141,44153,44184,44196,44253,44340,44410,44521,44569,44587,44642,44739,44836,44916,45007,45035,45061,45121,45250,45343,45376,45424,45444,45456,45550,45670,45760,45836,45915,45936,45964,46047,46150,46212,46316,46393,46423,46443,46498,46687,46776,46837,46901,46922,46945,46990,47048,47108,47158,47234,47250,47284,47341,47407,47467,47504
,Morelos,Mexico,7261,7289,7306,7307,7309,7317,7339,7363,7404,7404,7504,7564,7641,7730,7772,7772,7834,7843,7861,7919,8017,8042,8085,8162,8165,8247,8298,8370,8482,8520,8575,8601,8642,8704,8813,8849,8928,8983,8992,8997,9050,9147,9232,9305,9333,9352,9382,9589,9675,9818,9930,10077,10093,10228,10352,10501,10603,10793,10993,11319,11341,11619,12068,12636,13228,13688,14038,14085,14357,14831,14831,15625,16268,16554,16686,17206,17599,18101,18482,18928,19254,19303,19348,19636,19636,20948,21985,22991,23068,23765,23807,23937,24166,24297,24349,24387,24505,24569,24877,25103,25185,25201,25222,25450,25640,25821,26017,26206,26284,26337,26541,26848,26964,27095,27272,27315,27332,27518,27631,27822,28066,28191,28317,28350,28381,28507,28687,28804,28952,28984,29000,29116,29221,29366,29531,29649,29661,29689,29796,30048,30257,30304,30337,30387,30406,30406,30549,30720,30833,30975,30996,31009,31009,30938,31016,31264,31332,31374,31396,31449,31608,31678,31795,31874,31890,31905,31976,32070,32157,32239,32300,32317,32339,32418,32506,32554,32637
,Nayarit,Mexico,6903,6916,6935,6943,6946,6953,6966,6987,6997,6997,7042,7072,7088,7107,7127,7127,7157,7178,7192,7208,7253,7265,7294,7318,7342,7369,7386,7419,7433,7457,7472,7498,7518,7527,7542,7572,7583,7613,7637,7642,7672,7675,7708,7740,7758,7773,7779,7798,7824,7874,7922,7948,7965,7981,8022,8084,8151,8202,8278,8313,8348,8410,8490,8573,8665,8729,8810,8859,8937,9053,9053,9234,9321,9390,9459,9540,9638,9782,9882,9965,10000,10021,10044,10071,10071,10183,10219,10259,10281,10326,10374,10407,10438,10477,10502,10510,10542,10570,10592,10628,10662,10683,10697,10714,10740,10772,10808,10839,10854,10864,10881,10906,10924,10943,10965,10978,10983,11018,11038,11055,11075,11081,11097,11100,11104,11126,11154,11168,11188,11194,11197,11217,11234,11250,11267,11278,11281,11283,11291,11315,11332,11333,11338,11350,11352,11381,11403,11429,11447,11467,11483,11485,11506,11529,11551,11568,11587,11590,11601,11622,11646,11651,11670,11693,11701,11707,11718,11735,11761,11782,11802,11806,11817,11847,11866,11882,11904
,Nuevo Leon,Mexico,59136,59455,59841,60393,60696,60700,60901,61114,61545,61545,62810,63570,64502,65184,65649,65649,66875,67165,67344,67756,68310,69026,69627,70119,70477,70717,71114,71317,71981,72419,73077,73594,73900,74572,75069,75796,76499,77272,77727,77924,78362,78809,79594,80064,80222,80783,81001,81477,82035,82595,83209,83550,84360,84728,85375,86186,86953,87815,88878,89581,90103,90736,91369,92046,93101,93941,94365,94796,95533,96418,96418,99023,100209,101064,101527,102323,103796,104668,105584,106333,106878,107137,107302,107867,107867,109162,109700,109877,110030,110460,110941,111419,111835,112214,112355,112466,112677,112928,113155,113387,113629,113744,113812,114086,114399,114729,114987,115157,115200,115310,115649,115858,116161,116359,116587,116667,116710,116924,117119,117292,117468,117606,117654,117666,117710,117904,118107,118248,118363,118406,118441,118577,118810,118928,119060,119243,119380,119427,119612,119881,120006,120097,120162,120224,120242,120335,120475,120565,120717,120800,120840,120865,120987,121110,121235,121343,121421,121473,121501,121571,121687,121896,121975,122057,122093,122118,122234,122329,122440,122560,122617,122628,122655,122757,122846,122914,123038
,Oaxaca,Mexico,22656,22792,22882,22884,22889,22992,23131,23279,23455,23455,23591,23624,23793,23966,24098,24098,24362,24355,24382,24518,24630,24767,24934,25037,25108,25151,25354,25519,25671,25819,25959,25987,26011,26240,26452,26645,26784,26993,26995,27035,27182,27314,27468,27577,27632,27663,27698,27945,28090,28316,28404,28512,28524,28557,28730,28860,29074,29326,29648,29756,29892,30246,30667,30911,31159,31466,31506,31596,31811,32210,32210,32924,33300,33304,33451,33795,34128,34462,34853,35064,35079,35308,35336,35679,35679,36264,36498,36520,36661,37026,37281,37576,37854,38056,38104,38254,38593,38814,39020,39296,39527,39546,39626,39877,40063,40152,40329,40403,40424,40496,40787,41045,41146,41332,41570,41596,41665,41782,41969,42112,42246,42289,42305,42315,42398,42561,42716,42807,42941,42944,43001,43101,43193,43276,43375,43413,43431,43448,43539,43614,43658,43722,43729,43738,43861,44063,44160,44332,44518,44621,44639,44693,44868,44983,45086,45083,45138,45149,45207,45327,45427,45533,45580,45625,45638,45646,45727,45801,45858,45971,46007,46010,46016,46114,46206,46241,46324
,Puebla,Mexico,37186,37424,37575,37628,37676,37700,37801,37937,38125,38125,38495,38607,38776,39088,39250,39250,39657,39810,39902,40026,40247,40445,40626,40782,40891,41021,41206,41713,41915,42168,42447,42570,42728,42918,43175,43538,43746,44061,44165,44310,44549,44852,45160,45359,45576,45763,46026,46516,46940,47283,47636,48182,48421,48740,48869,49258,49684,50104,50492,50971,51239,51497,52044,52417,53102,53573,54133,54455,55005,55585,55585,57063,57699,58229,58724,59274,59941,60596,60966,61507,61772,61988,62200,62473,62473,63290,63812,63931,64117,64431,65012,65294,65777,66147,66365,66549,66982,67399,67765,68248,68523,68704,68786,69238,69681,70090,70426,70792,70966,71072,71355,71730,72053,72354,72605,72826,72904,73262,73597,73894,74148,74517,74678,74784,74871,75117,75419,75685,75934,76122,76211,76395,76692,77002,77233,77573,77691,77782,77986,78194,78568,78985,79068,79238,79305,79496,79735,79955,80140,80390,80504,80608,80775,80979,81238,81425,81603,81670,81763,81970,82138,82306,82479,82639,82762,82820,82977,83080,83205,83318,83427,83457,83492,83609,83699,83807,83882
,Queretaro,Mexico,16776,16975,17178,17308,17481,17503,17532,17563,17804,17804,18664,19067,19518,20076,20574,20574,21354,21593,21885,22228,22760,23076,23397,23864,24159,24554,24788,25278,25852,26235,26536,26861,27036,27358,27715,28160,28534,28909,29051,29259,29527,29863,30150,30357,30517,30765,31079,31624,32039,32377,32582,32750,32927,33158,33557,33920,34343,34734,35123,35396,35606,35990,36317,36663,37319,37870,38273,38615,39150,39800,39800,41641,42568,43177,43542,44378,45229,45881,46622,47228,47467,47780,48054,48449,48449,49470,49932,50174,50493,50962,51545,51958,52326,52715,52860,53021,53323,53628,53956,54253,54609,54750,54883,55297,55689,56044,56376,56713,56830,56990,57370,57671,58033,58443,58813,58912,59048,59413,59794,60160,60550,60812,60887,61016,61148,61449,61765,62082,62384,62454,62558,62770,62986,63226,63494,63729,63815,63886,64107,64368,64593,64695,64880,64936,65003,65187,65471,65728,65990,66214,66253,66308,66430,66659,66848,67117,67302,67329,67385,67552,67635,67635,67583,67503,67483,67566,67662,67789,68086,68275,68406,68427,68447,68447,68292,68346,68333
,Quintana Roo,Mexico,13811,13835,13885,13899,13911,13916,13945,13967,13992,13992,14071,14109,14142,14197,14244,14244,14373,14412,14453,14485,14527,14591,14645,14710,14750,14782,14812,14831,14878,14904,14977,15028,15057,15083,15128,15179,15252,15333,15392,15424,15467,15490,15566,15616,15639,15678,15710,15756,15771,15855,15968,15970,16023,16118,16166,16204,16266,16339,16460,16488,16561,16599,16619,16704,16821,16931,17037,17143,17293,17426,17426,17807,17953,18104,18209,18292,18433,18516,18662,18749,18828,18880,18892,18945,18945,19145,19229,19286,19297,19332,19378,19435,19500,19543,19598,19603,19651,19738,19784,19835,19872,19896,19917,19954,20053,20115,20144,20189,20191,20191,20202,20270,20309,20346,20378,20406,20415,20449,20499,20531,20567,20617,20633,20638,20646,20707,20768,20810,20853,20879,20888,20942,21007,21051,21094,21148,21167,21183,21238,21302,21340,21357,21370,21406,21424,21489,21545,21601,21652,21755,21783,21800,21871,21931,22021,22093,22182,22213,22244,22355,22442,22525,22616,22717,22801,22825,22905,23005,23119,23247,23330,23381,23405,23541,23695,23886,24012
,San Luis Potosi,Mexico,31020,31284,31577,31747,31843,31962,32048,32116,32267,32267,32849,33149,33398,33608,33757,33757,34290,34472,34689,34899,35160,35370,35555,35741,36065,36261,36360,36423,36729,36869,37032,37223,37412,37603,37705,37837,37978,38171,38395,38474,38649,38751,38861,39051,39194,39258,39370,39556,39731,39869,39968,40248,40373,40466,40532,40823,41087,41408,42015,42275,42422,42874,43262,43733,44244,44765,45147,45363,45855,46230,46230,47269,47338,47749,48054,48486,48844,49368,49752,50324,50677,50976,51130,51465,51465,52325,52841,53061,53170,53465,53731,53983,54220,54524,54673,54787,54997,55205,55495,55747,55982,56164,56212,56337,56591,56887,57056,57232,57305,57330,57477,57611,57763,57897,58042,58138,58217,58386,58547,58716,58973,59111,59170,59192,59227,59371,59468,59558,59686,59726,59762,59873,59982,60081,60089,60089,59986,60011,60126,60223,60350,60424,60428,60446,60458,60581,60685,60819,60975,61112,61150,61157,61238,61320,61411,61484,61539,61583,61609,61738,61897,61963,62043,62119,62172,62181,62265,62358,62437,62509,62582,62590,62598,62662,62739,62811,62978
,Sinaloa,Mexico,22812,22899,22966,23030,23091,23095,23185,23232,23308,23308,23497,23659,23871,24037,24155,24155,24337,24391,24486,24556,24625,24702,24785,24863,24887,24940,25038,25110,25189,25307,25365,25389,25447,25524,25549,25681,25752,25835,25871,25980,26044,26194,26263,26349,26360,26426,26480,26511,26610,26771,26847,26890,26979,26987,27091,27221,27386,27513,27679,27738,27828,27991,28151,28314,28456,28654,28798,28907,29098,29400,29400,29819,29998,30163,30321,30497,30659,30853,30989,31193,31262,31310,31418,31521,31521,31771,31904,31967,32031,32165,32266,32394,32571,32704,32756,32792,32951,33077,33176,33288,33433,33468,33502,33629,33701,33799,33820,33920,33943,33960,34087,34183,34284,34370,34448,34493,34510,34646,34725,34802,34888,34972,34997,35018,35020,35115,35219,35323,35432,35447,35465,35589,35679,35740,35845,35903,35938,35946,36067,36204,36278,36290,36293,36310,36329,36431,36539,36652,36728,36807,36821,36838,36955,37030,37102,37156,37215,37237,37251,37317,37371,37430,37474,37510,37541,37567,37636,37703,37773,37822,37861,37862,37898,37972,38019,38070,38124
,Sonora,Mexico,39965,40182,40329,40348,40504,40666,40757,40921,41118,41118,41476,41752,41908,42127,42286,42286,42780,42974,43459,43677,44100,44476,44795,45122,45219,45641,45880,46296,46384,46729,47008,47113,47195,47289,47476,47834,48164,48368,48594,48905,49063,49425,49765,50081,50100,50345,50842,51177,51480,51708,52146,52380,52632,52864,53185,53468,53674,54186,54505,54903,55279,55654,56089,56377,56828,57342,57524,57748,58365,58806,58806,59929,60368,60582,60706,61003,61345,61746,62177,62602,62912,63062,63309,63637,63637,64372,64675,64826,64936,65148,65343,65504,65677,65887,66021,66138,66277,66480,66650,66781,66876,66941,67011,67125,67245,67374,67497,67593,67684,67780,67915,68039,68182,68263,68379,68435,68493,68615,68763,68868,69009,69126,69174,69227,69242,69076,69167,69288,69380,69427,69482,69624,69739,69887,70028,70163,70197,70236,70366,70488,70597,70639,70671,70711,70761,70906,71002,71140,71262,71397,71456,71492,71631,71805,71935,72073,72184,72223,72275,72408,72552,72645,72772,72921,72984,73004,73098,73193,73265,73360,73435,73453,73476,73559,73630,73684,73783
,Tabasco,Mexico,35419,35499,35602,35691,35766,35821,35871,35994,36075,36075,36271,36372,36484,36584,36695,36695,36996,37103,37305,37469,37615,37796,38003,38205,38317,38436,38576,38767,39102,39420,39767,40124,40355,40584,40651,40974,41228,41489,41691,41887,42112,42321,42613,42903,43098,43325,43452,43668,43924,44248,44592,44773,44961,45110,45246,45644,45990,46301,46667,47008,47232,47554,47839,48144,48477,48782,49033,49248,49502,49766,49766,50309,50657,50966,51224,51515,51738,52009,52269,52521,52732,52936,53103,53366,53366,53822,54062,54253,54381,54666,54841,55046,55222,55413,55558,55649,55745,55928,56086,56227,56359,56488,56556,56724,56864,57021,57185,57324,57454,57490,57550,57731,57904,58065,58213,58336,58432,58581,58710,58845,58989,59129,59256,59319,59346,59468,59634,59752,59883,59992,60033,60168,60258,60413,60552,60663,60747,60803,60933,61060,61166,61268,61364,61395,61436,61597,61722,61850,61976,62108,62195,62282,62396,62529,62658,62821,62932,63035,63124,63255,63393,63522,63683,63844,63957,64072,64199,64359,64461,64608,64764,64847,64928,65083,65222,65323,65471
,Tamaulipas,Mexico,33467,33560,33653,33668,33753,33754,33781,33803,34014,34014,34134,34231,34539,35007,35150,35150,35506,35564,35581,35721,36008,36150,36298,36377,36402,36468,36570,36765,36884,37070,37183,37263,37343,37495,37562,37695,37827,37952,37979,38031,38271,38435,38533,38647,38664,38880,38916,39126,39207,39387,39416,39466,39480,39761,39912,39975,40064,40087,40722,40991,41640,42131,42595,42989,43350,43647,43716,43753,44376,44809,44809,45763,46054,46172,46258,46817,47024,47455,47770,48072,48136,48283,48404,48652,48652,49058,49223,49320,49392,49585,49735,49866,50155,50331,50423,50458,50501,50702,50806,50897,51001,51045,51075,51204,51286,51413,51525,51622,51656,51686,51847,51944,52064,52182,52283,52332,52359,52458,52540,52540,52710,52779,52850,52910,52943,53080,53163,53282,53382,53407,53432,53531,53648,53891,54064,54150,54171,54184,54260,54337,54568,54598,54643,54669,54693,54777,54939,55007,55101,55216,55239,55273,55412,55495,55549,55630,55708,55745,55775,55863,55959,56042,56127,56197,56242,56274,56368,56450,56544,56642,56733,56757,56784,56884,56968,57059,57196
