Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Para,Paraiba,Parana,Pernambuco,Piaui,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondonia,Roraima,Santa Catarina,Sao Paulo,Sergipe,Tocantins,Unknown
Country/Region,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
05-20-2020,2741,4186,4407,22143,10835,28660,5084,7751,1900,14480,1022,676,5109,16502,5608,2479,20726,2550,3626,4812,27135,2409,2003,5405,64496,4208,1767,-116683
05-21-2020,3025,4654,5037,23747,11565,29252,5458,8515,2029,15395,1138,729,5405,17904,5993,2669,21986,2761,3882,5307,28677,2558,2074,5512,68181,4658,1929,-125960
05-22-2020,3263,5022,5498,25369,12158,32322,5858,9123,2211,16519,1183,788,5794,19532,6634,2793,23703,2981,4070,5746,29932,2668,2223,6358,71098,4840,2156,-135430
05-23-2020,3780,5329,5929,27058,12587,32814,6156,9501,2282,18045,1315,841,6121,20696,7250,2949,24642,3159,4415,6160,30628,2994,2293,6504,74513,5045,2379,-142587
05-24-2020,4068,5898,6190,28109,13439,33271,6534,9561,2348,20437,1422,907,6442,21977,7551,3059,25559,3283,4497,6290,33919,3080,2355,6591,75998,5221,2539,-149911
05-25-2020,4404,6345,6416,28501,13727,33692,6816,9900,2416,22002,1459,1006,6732,23705,7737,3175,26118,3440,4550,6362,35193,3147,2428,6766,77405,5345,2638,-153833
05-26-2020,4676,6704,6794,30097,14071,34418,7086,10402,2567,23461,1585,1083,7282,26131,8633,3353,26526,3601,5252,6582,35663,3360,2481,6895,79594,5619,2794,-158593
05-27-2020,5138,7212,7436,31617,14539,34604,7628,10973,2735,25292,1793,1168,7771,28488,9911,3550,27451,3832,5388,6839,37793,3725,2580,7246,82771,5785,2958,-166647
05-28-2020,5478,7670,7954,34182,15393,35088,8158,11665,2975,27092,1900,1244,8431,30995,10814,3815,28147,4105,5376,8021,40030,4110,2857,7869,88885,6021,3209,-177604
05-29-2020,5706,8212,8262,36898,16308,35536,8568,12343,3200,29571,2047,1338,8975,33659,11684,4063,29586,4357,6195,8021,42874,4357,2990,8396,94281,6320,3541,-189476
05-30-2020,5930,8799,9098,38513,16988,43550,9312,12854,3463,31688,2304,1399,9367,34396,12515,4292,30687,4588,7097,9024,47143,4592,3189,8642,99610,6656,3910,-200892
05-31-2020,6071,9845,9380,39326,17725,45479,9610,13086,3578,33684,2368,1469,10193,35038,12802,4505,31643,4770,7746,9108,48044,4786,3358,8894,102083,6841,4103,-206555
