Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Adygea Republic,Altai Krai,Altai Republic,Amur Oblast,Arkhangelsk Oblast,Astrakhan Oblast,Bashkortostan Republic,Belgorod Oblast,Bryansk Oblast,Buryatia Republic,Chechen Republic,Chelyabinsk Oblast,Chukotka Autonomous Okrug,Chuvashia Republic,Dagestan Republic,Ingushetia Republic,Irkutsk Oblast,Ivanovo Oblast,Jewish Autonomous Okrug,Kabardino-Balkarian Republic,Kaliningrad Oblast,Kalmykia Republic,Kaluga Oblast,Kamchatka Krai,Karachay-Cherkess Republic,Karelia Republic,Kemerovo Oblast,Khabarovsk Krai,Khakassia Republic,Khanty-Mansi Autonomous Okrug,Kirov Oblast,Komi Republic,Kostroma Oblast,Krasnodar Krai,Krasnoyarsk Krai,Kurgan Oblast,Kursk Oblast,Leningrad Oblast,Lipetsk Oblast,Magadan Oblast,Mari El Republic,Mordovia Republic,Moscow,Moscow Oblast,Murmansk Oblast,Nenets Autonomous Okrug,Nizhny Novgorod Oblast,North Ossetia - Alania Republic,Novgorod Oblast,Novosibirsk Oblast,Omsk Oblast,Orel Oblast,Orenburg Oblast,Penza Oblast,Perm Krai,Primorsky Krai,Pskov Oblast,Rostov Oblast,Ryazan Oblast,Saint Petersburg,Sakha (Yakutiya) Republic,Sakhalin Oblast,Samara Oblast,Saratov Oblast,Smolensk Oblast,Stavropol Krai,Sverdlovsk Oblast,Tambov Oblast,Tatarstan Republic,Tomsk Oblast,Tula Oblast,Tver Oblast,Tyumen Oblast,Tyva Republic,Udmurt Republic,Ulyanovsk Oblast,Vladimir Oblast,Volgograd Oblast,Vologda Oblast,Voronezh Oblast,Yamalo-Nenets Autonomous Okrug,Yaroslavl Oblast,Zabaykalsky Krai
Country/Region,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
06-01-2020,394,805,74,167,606,937,1132,915,2321,818,836,1323,55,1272,4442,859,347,786,198,1195,630,510,1506,267,327,168,240,1017,564,809,981,704,399,2748,1060,118,1400,1590,724,187,1379,827,82239,8422,2081,12,3747,1968,388,1129,359,1156,1196,1855,1063,1078,340,1742,973,5748,903,53,1060,1158,773,1102,2337,1176,2690,326,1815,1087,818,93,412,713,756,1031,357,1433,984,756,548
06-02-2020,413,833,80,188,659,1014,1138,999,2422,874,847,1336,56,1319,4457,906,405,864,211,1272,670,518,1614,269,340,191,259,1083,585,870,981,748,420,2842,1259,134,1452,1674,742,199,1445,898,88269,8809,2192,15,3980,2070,391,1214,386,1231,1196,1966,1147,1160,359,1834,1075,6008,943,54,1072,1206,821,1174,2510,1221,2814,340,1921,1147,869,174,425,743,839,1097,380,1499,1163,826,576
06-03-2020,465,866,84,198,698,1052,1192,1082,2522,917,894,1394,59,1369,4477,966,458,928,229,1362,698,556,1732,286,348,197,261,1169,609,936,1013,801,425,2917,1300,144,1513,1751,789,201,1513,954,91654,9311,2375,15,4252,2231,416,1235,437,1274,1241,2048,1221,1223,368,1950,1169,6331,1015,62,1138,1288,880,1265,2680,1272,2991,359,2037,1229,922,227,438,832,941,1165,439,1567,1207,896,633
06-04-2020,487,899,88,216,737,1120,1249,1151,2623,975,973,1479,60,1431,4497,1193,506,963,240,1457,718,577,1812,289,369,205,261,1211,655,979,1076,816,435,3006,1363,148,1596,1829,835,203,1582,1016,94715,9877,2401,15,4451,2536,426,1262,566,1363,1276,2132,1266,1290,403,2049,1229,6695,1071,62,1212,1361,940,1318,2827,1405,3130,381,2164,1294,962,227,455,861,988,1235,466,1595,1307,951,708
06-05-2020,519,966,91,228,779,1166,1286,1236,2720,999,982,1540,61,1476,4520,1316,556,997,247,1502,740,609,1954,298,399,210,270,1292,680,1044,1115,855,439,3109,1427,153,1668,2011,892,206,1633,1064,97358,10392,2427,15,4612,2702,429,1306,605,1409,1587,2260,1321,1356,420,2157,1330,7076,1177,63,1282,1404,978,1409,2997,1443,3235,386,2273,1338,1003,232,460,897,1112,1321,489,1624,1340,1007,750
06-06-2020,540,1061,95,249,844,1225,1322,1326,2818,1026,988,1651,63,1525,4537,1432,638,1063,249,1549,763,614,2024,301,405,215,298,1296,711,1112,1157,875,474,3235,1488,158,1775,2139,938,207,1699,1111,100431,10924,2468,16,4795,3033,437,1356,664,1462,1628,2354,1360,1402,437,2245,1433,7462,1242,63,1348,1462,1085,1446,3166,1474,3450,426,2409,1415,1047,250,466,937,1198,1400,508,1688,1376,1169,807
06-07-2020,577,1096,100,252,853,1263,1437,1337,2917,1058,990,1721,65,1625,4562,1505,709,1064,249,1625,779,624,2097,306,418,224,316,1301,757,1126,1186,885,485,3289,1494,180,1802,2154,994,208,1718,1123,102714,11462,2477,16,4837,3066,438,1369,684,1464,1636,2406,1370,1444,437,2310,1448,7759,1311,71,1425,1547,1101,1470,3239,1517,3477,440,2434,1422,1057,267,467,954,1198,1401,532,1692,1429,1176,837
06-08-2020,606,1107,101,252,858,1294,1453,1356,3021,1067,993,1801,65,1727,4587,1508,725,1091,250,1649,782,631,2119,310,453,226,322,1314,782,1186,1206,890,489,3311,1570,183,1803,2221,1018,211,1727,1155,104347,12031,2480,16,4878,3100,438,1386,689,1474,1642,2433,1394,1464,440,2343,1458,7915,1343,71,1449,1573,1105,1471,3273,1534,3543,474,2441,1429,1067,273,467,954,1225,1428,542,1699,1475,1180,862
06-09-2020,618,1197,104,261,897,1362,1505,1467,3120,1113,1024,1867,68,1769,4611,1623,820,1196,256,1753,847,697,2240,314,472,238,332,1382,822,1204,1218,911,506,3383,1811,200,1858,2321,1026,213,1821,1191,109737,12672,2535,17,5696,3121,446,1455,758,1543,1704,2531,1474,1529,454,2469,1611,8101,1428,71,1485,1596,1240,1538,3495,1611,3563,499,2623,1478,1084,337,478,1013,1356,1498,567,1739,1475,1310,942
06-10-2020,651,1314,109,296,944,1438,1640,1608,3217,1147,1073,1967,69,1829,4636,1652,892,1238,261,1821,922,734,2318,374,490,245,339,1402,851,1468,1327,939,535,3500,1970,200,1951,2434,1092,216,1917,1225,113533,13419,2569,20,5975,3142,458,1552,968,1568,1757,2651,1533,1614,475,2550,1747,8521,1560,71,1570,1699,1321,1650,3642,1677,3586,524,2787,1495,1144,359,502,1095,1440,1551,617,1817,1482,1452,951
06-11-2020,674,1407,111,325,985,1535,1741,1878,3316,1176,1119,2099,70,1957,4662,1679,948,1307,263,1838,950,751,2392,402,500,260,351,1439,871,1559,1424,960,565,3554,2068,208,2045,2528,1160,217,1961,1297,115769,14187,2633,26,6219,3165,467,1791,1098,1586,1827,2728,1634,1614,486,2702,1875,8864,1634,71,1651,1811,1362,1739,3790,1753,3607,552,2961,1573,1176,368,516,1201,1503,1627,661,1859,1485,1530,996
