Admin2,Province/State,Country/Region,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020
,Mizoram,India,193,215,234,247,253,258,266,282,286,288,289,296,298,323,323,330,343,348,356,371,372,379,384,402,420,423,459,461,464,473,500,509,584,589,591,612,661,671,683,718,734,735,745,750,750,790,823,830,830,922,939,949,973,990,1002,1012,1023,1095,1105,1289,1316,1373,1459,1576,1597,1721,1759,1772,1807,1837,1887,1919,1937,1974,1984,2010,2046,2093,2108,2121,2133,2145,2148,2151,2165,2174,2175,2189,2198,2203,2212,2233,2238,2258,2284,2291,2323,2347,2376,2435,2473,2485,2526,2618,2656,2686,2688,2739,2792,2820,2876,2915,2972,3021,3025,3111,3157,3192,3203,3298,3319,3352,3367,3425,3440,3499,3499,3584,3647,3690,3708,3728,3757,3772,3784,3800,3820,3836,3847
,Nagaland,India,569,595,625,635,640,648,657,659,685,819,824,896,904,973,991,1113,1139,1198,1321,1422,1422,1664,1706,1921,2074,2166,2294,2396,2611,2611,2735,2850,2917,3026,3067,3201,3223,3324,3361,3392,3511,3685,3739,3787,3792,3802,3839,3901,3901,3945,3987,4098,4129,4171,4252,4477,4517,4536,4626,4669,4819,4888,4938,4986,5066,5144,5211,5257,5309,5422,5460,5498,5564,5656,5694,5743,5813,5831,5916,6017,6111,6141,6206,6273,6334,6428,6469,6570,6668,6724,6792,6828,6945,7096,7308,7454,7535,7689,7869,8017,8161,8282,8336,8440,8513,8597,8687,8776,8859,8891,8913,8959,8997,9057,9110,9208,9242,9308,9347,9397,9463,9595,9805,9830,10005,10194,10194,10467,10520,10759,10761,10766,10773,10781,10849,10868,10934,10998,11007
,Odisha,India,17374,18939,19746,20518,21274,21955,23074,24483,25738,26888,28698,30242,31785,33021,34806,36479,37901,39206,40727,42277,43780,45315,46936,48577,50504,52277,54406,56925,59470,62813,65323,67826,70714,73233,77286,80770,84073,87351,90331,93774,96364,99398,102185,105295,108001,112062,115279,118642,118642,125738,129859,133466,137567,141657,145675,149379,153213,157265,161044,165432,170193,173571,177585,181481,185700,190080,194128,198194,202302,206400,210217,213672,216984,220388,224273,227615,230192,232988,235763,238535,241385,244227,246837,249575,252197,254913,257041,259418,262031,264102,266105,268115,270130,272038,273838,275749,277564,279091,280553,282073,283533,285174,286857,288168,289689,291137,292477,293741,295245,296516,297862,297862,300474,301777,302796,303897,304908,305813,306726,307374,308102,308839,309747,310549,311256,312065,312065,313394,314023,314665,315270,315840,316447,316970,317412,317870,318278,318683,319069
,Puducherry,India,1720,1874,1958,2100,2198,2309,2411,2537,2668,2808,2914,3054,3201,3355,3532,3676,3828,4009,4224,4443,4627,4909,5312,5634,5934,6307,6657,6942,7273,7486,7761,8080,8511,8968,9334,9675,9968,10279,10674,11107,11632,12135,12581,12967,13389,13783,14228,14570,14570,15522,15923,16253,16715,17209,17556,18065,18454,18893,19311,19781,20205,20648,21156,21616,22074,22505,22948,23344,23763,24221,24614,24930,25256,25543,25955,26291,26555,26865,27152,27365,27671,27984,28290,28520,28774,29016,29211,29427,29614,29801,29990,30153,30307,30449,30577,30724,31345,31827,32284,32703,33123,33437,33932,34067,34212,34325,34432,34501,34571,34637,34732,34827,34958,35152,35254,35355,35437,35525,35582,35671,35671,35687,35733,35774,35846,35898,35898,36035,36062,36124,36176,36238,36263,36308,36354,36372,36420,36479,36536
,Punjab,India,9064,10213,10509,10734,11075,11466,11882,12491,12943,13659,14040,14880,15319,15735,16790,17212,17839,18328,18863,19431,20180,21762,22703,23037,23893,24302,26528,28357,29145,30231,30972,33008,34091,35747,37027,38147,39742,41271,42543,43849,45455,47020,49327,50558,51906,53308,55385,57536,57536,60814,63570,65818,68463,70373,72598,75409,77127,79244,81475,84025,86013,88312,90345,92277,93666,95937,97777,99468,100977,102648,104355,105585,107200,108533,109767,110865,112099,113105,114075,115186,116165,116925,117883,118767,119658,120220,121155,121735,122256,122721,123047,123510,123866,124293,124870,125198,125566,125961,126315,126583,126932,127304,127821,128217,128727,129089,129549,130018,130406,130406,131431,132001,132266,132917,133427,133919,134511,135008,135739,136178,136622,137089,137630,138206,138870,139442,139442,140772,141478,142121,142791,143414,144301,145093,145623,146126,146777,147431,148047
,Rajasthan,India,26123,27569,28385,29035,29977,30710,31458,32832,33849,35131,36195,37163,38235,39060,40399,41648,41819,43897,45254,46604,47654,48960,49963,51190,52496,54144,55324,56600,58126,59579,60585,62033,62971,65093,66812,68124,70674,71220,71899,73245,74861,76427,77872,79450,80482,81970,82902,84518,84518,87873,89352,90685,92265,93805,95469,97284,98812,100365,102330,104288,105994,107718,109472,111272,113225,115178,117238,119241,121331,123421,125448,127526,129618,131766,133918,135990,137848,139616,141835,143984,146185,148291,150379,152573,155095,157960,160614,162981,165496,167736,169962,172028,174044,175977,178064,179984,181575,182680,183899,185722,187544,189354,191132,192945,194629,196338,198139,199943,201770,203524,205414,207224,209058,210779,212623,214616,216579,218583,220871,223085,225229,227408,229602,231780,234336,237098,237098,243340,246572,249713,252911,255729,258393,260773,263350,265689,268457,270650,272118
,Sikkim,India,174,198,214,231,269,289,297,299,303,353,406,470,494,510,534,550,581,623,661,673,701,701,789,827,834,871,871,934,1054,1076,1151,1184,1195,1220,1225,1237,1269,1304,1329,1347,1371,1396,1413,1429,1470,1486,1503,1505,1505,1690,1722,1789,1857,1972,1975,1986,2009,2023,2054,2075,2097,2146,2164,2235,2303,2375,2409,2448,2480,2547,2587,2615,2650,2721,2816,2920,2925,3014,3075,3129,3177,3233,3265,3276,3326,3361,3410,3465,3490,3525,3530,3534,3545,3558,3591,3617,3651,3655,3660,3740,3778,3786,3805,3894,3910,3923,3971,4019,4036,4073,4125,4137,4144,4182,4218,4271,4304,4345,4406,4437,4481,4501,4541,4572,4609,4632,4632,4661,4669,4677,4686,4695,4715,4735,4754,4754,4810,4834,4864
,Tamil Nadu,India,162249,172883,178178,183956,190966,196483,202283,208784,214815,221087,227575,232618,238638,244675,250680,256313,261459,267015,272251,278270,283937,289787,296171,301913,307677,313280,319327,325456,332454,338060,343930,349682,355727,362133,368141,374172,380063,386173,392507,398366,404186,410116,416715,423231,429416,435422,441649,447366,447366,458900,464668,470192,475717,481273,486479,491971,497377,502740,508210,513836,519448,525154,530708,536209,541819,547335,552938,558534,564092,569664,575212,580736,586454,591811,597033,602038,607203,612320,617403,622458,627703,632708,637637,642152,646555,650856,655170,659432,663456,667475,671489,675518,679377,683464,687388,691236,694880,698820,701527,704031,706444,708846,711198,713584,715892,718129,720339,722686,725258,727752,730272,732656,734970,737281,739532,741705,743838,745848,747752,749662,751535,753332,754826,756279,757750,759206,759206,762015,763428,764854,766261,767759,769048,770378,771693,772995,774306,775602,776878
,Telangana,India,42909,2678,2962,45388,46502,47590,49675,50814,52103,53239,54330,55999,57586,59374,61294,63074,64284,66196,68126,70132,72202,73991,75186,76967,78735,80586,82411,84163,85223,86095,87675,89350,90988,92837,95162,97402,100013,102024,104603,107530,110241,112587,115072,117143,119467,121925,124528,127007,127007,131447,133555,135357,137508,139700,141930,144073,146135,148139,150160,152441,154499,156431,158690,160933,163407,165844,167846,170212,172388,174769,177008,179075,180953,183025,185128,187342,189351,191269,193218,194653,196636,198790,200686,202577,204388,206105,207326,209034,210480,211912,213466,214917,216353,217401,218887,220466,221992,223413,224686,225664,226646,227583,229064,230568,232489,234234,235950,237172,238908,240545,242084,243686,245293,246733,247790,249157,250453,251468,252565,253715,254676,255378,256330,257278,258336,259230,259230,261028,261830,262751,263744,264606,265367,266120,266925,267427,267992,268601,269232
,Tripura,India,2467,0,0,3327,3463,3605,3675,3725,3793,3860,4084,4176,4443,4656,4838,4912,5015,5088,5151,5286,5404,5497,5565,5649,6061,6182,6341,6414,6574,6697,6839,7037,7232,7433,7674,7847,8033,8212,8483,8745,9048,9342,9653,9993,10255,10734,11132,11536,11536,12435,12956,13559,14142,14810,15464,15883,16486,16978,17487,17992,18392,18959,19203,19692,20092,20596,20897,21410,21876,22131,22623,23066,23474,23801,24086,24403,24623,25041,25394,25765,26035,26222,26550,26748,27013,27252,27502,27740,27886,28069,28153,28355,28525,28737,28878,29048,29234,29318,29430,29545,29666,29792,29858,29965,30009,30058,30208,30314,30414,30478,30555,30631,30750,30856,30968,31084,31179,31269,31296,31368,31441,31499,31568,31655,31730,31764,31764,31879,31947,32009,32068,32110,32125,32169,32204,32250,32285,32310,32342
,Unknown,India,0,45807,46803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uttar Pradesh,India,42833,3811,3996,48863,51334,53168,55393,57271,60558,63402,66834,69833,72650,76724,80589,84661,88786,92526,96231,100432,104808,109607,115227,121090,126657,131295,135613,140107,144754,148562,152893,157879,162741,167543,172140,176677,181364,185812,190818,195959,200738,205731,211170,216901,221506,227442,233527,239485,239485,252097,258573,263288,270094,276690,283274,289594,296183,302689,307611,313686,320232,325888,331270,336981,342415,342415,351966,356826,362052,366321,370753,374972,378662,383086,387149,390566,393908,397570,401306,404545,408083,411611,415592,418685,422024,425356,427937,430962,433703,436071,438521,440847,443589,446054,448644,451070,453458,455498,457708,459722,461073,463240,465250,467108,469003,471204,473316,475175,477180,479182,480965,482854,484692,487221,488911,491131,493228,495415,497475,499507,500835,502353,504411,506938,509556,512028,512028,516694,518390,520637,522867,524860,526721,528832,530854,532349,534224,535985,537755
,Uttarakhand,India,3675,44116,46256,4168,4330,4437,4538,4847,5233,5427,5731,5963,6134,6301,6470,6687,7014,7502,7748,8100,8485,8724,9132,9433,9676,10021,10480,10912,11201,11524,11775,12124,12586,13066,13650,14076,14501,15009,15511,16056,16648,17123,17473,18262,18783,19428,20153,21040,21040,23230,24432,24965,26250,27142,28017,29201,30308,31324,32355,33843,34859,35672,36856,38282,39278,39278,40419,41338,41740,42621,43238,43904,44808,46058,46470,46931,47609,48283,49129,49997,50521,51186,51369,51900,52291,53061,53643,54161,54629,54958,55663,56085,56556,57012,57270,57422,57609,58050,58459,58729,59338,59746,60083,60242,60453,60970,61451,61990,62302,62483,62543,63158,63603,64032,64427,65562,65562,65733,66172,66349,66799,67119,67514,67861,68148,68505,68505,69578,70045,70626,71116,71489,71980,72435,72880,73412,73936,74381,74781
,West Bengal,India,39917,42909,42909,48374,50517,52730,54818,56884,58962,61023,63060,65124,67120,70328,73395,76120,78617,81189,83836,86771,89703,92690,95663,98789,101871,104959,108007,111292,114543,117857,121046,124332,127644,130952,134270,137616,140913,144248,147553,150801,154008,157029,160025,162992,166027,169043,172085,175139,175139,181142,184113,187061,190021,193014,195972,198983,202030,205028,208042,211020,213975,216921,219844,222805,225759,225759,231699,234712,237698,240707,243743,246767,249737,252806,255838,258948,262103,265288,268384,271563,274757,277940,281053,284325,287707,291303,294911,298587,302340,306197,310086,314003,317928,321873,325888,329937,333990,338075,342133,346262,350449,354732,359071,363454,367850,372265,376696,381149,385617,390096,394576,398952,403340,407769,411759,415609,419403,423129,426816,430462,434067,437604,441100,444587,448032,450762,450762,457377,460634,463849,467056,470223,472454,475425,478434,481385,484258,487171,490165
