Admin2,,,
Province/State,Faroe Islands,Greenland,
Country/Region,Denmark,Denmark,Denmark
11-03-2020,495,17,49594
11-04-2020,495,17,50530
11-05-2020,495,17,51753
11-06-2020,495,17,53180
11-07-2020,495,17,54230
11-08-2020,497,17,55121
11-09-2020,497,17,55892
11-10-2020,497,17,56958
11-11-2020,497,17,57952
11-12-2020,497,18,58963
11-13-2020,497,18,60000
11-14-2020,497,18,61078
11-15-2020,498,18,62136
11-16-2020,498,18,63331
11-17-2020,498,18,64551
11-18-2020,498,18,65808
11-19-2020,498,18,67105
11-20-2020,498,18,68362
11-21-2020,499,18,69635
11-22-2020,500,18,70485
11-23-2020,500,18,71654
11-24-2020,500,18,73021
11-25-2020,500,18,74204
11-26-2020,500,18,75395
11-27-2020,500,18,76718
11-28-2020,502,18,78354
11-29-2020,502,18,79352
11-30-2020,503,18,80481
12-01-2020,503,18,81949
12-02-2020,503,18,83535
12-03-2020,505,18,85140
12-04-2020,505,18,86743
12-05-2020,506,18,88858
12-06-2020,510,18,90603
12-07-2020,510,18,92649
12-08-2020,514,19,94799
12-09-2020,519,19,97357
12-10-2020,519,19,100489
12-11-2020,520,19,103564
12-12-2020,525,19,107116
12-13-2020,528,19,109758
12-14-2020,528,19,113095
12-15-2020,530,19,116087
12-16-2020,532,19,119779
12-17-2020,534,19,123813
