Admin2,Province/State,Country/Region,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020
,Himachal Pradesh,India,1040,1057,1105,1091,1118,1130,1146,1155,1140,1168,1182,1169,1175,1241,1206,1256,1362,1304,1342,1417,1321,1293,1400,1430,1469,1525,1511,1488,1376,1479,1460,1455,1439,1460,1563,1527,1613,1708,1815,1978,2176,2234,2326,2487,2723,2874,3194,3364,3364,3801,4146,4146,4430,4308,4444,4458,4124,3950,3984,3976,4104,3657,3650,3573,3400,3416,3256,3292,3273,3156,3136,2996,2943,2856,2718,2687,2637,2507,2520,2654,2642,2680,2630,2593,2596,2636,2623,2620,2605,2489,2511,2521,2646,2768,2891,2880,2973,2958,3119,3431,3668,3845,4198,4716,5192,5365,5605,6165,6739,6716,6879,6775,6772,6901,6980,6830,7070,7034,6680,7150,7875,7878,8205,8574,8644,8289,8289,7813,8088,8300,8247,8269,7895,7577,7475,7865,7725,7575,7251,6948,6792,6218,6139,5974,5966,5196,4886,4791,4629,4681,4347,4291
,Jammu and Kashmir,India,7667,7749,7662,7765,7713,7893,7567,7123,7285,7310,7260,7264,7422,7514,7462,7392,7138,7027,6818,6985,7048,6879,6965,6914,6973,6975,7198,7246,7544,7630,7743,7781,7672,7959,7980,8022,8053,8441,8800,9547,10446,11009,11859,12839,14074,15169,16261,17481,17481,18678,19503,20239,20770,21281,22032,21887,21485,19918,19451,19170,18430,18199,17601,17414,17017,16413,16089,15646,15460,14696,13712,12131,11482,11144,10796,10466,9992,9866,9739,9058,8909,8704,8677,8314,8124,8088,7952,7842,7680,7565,7296,6990,6976,6928,6835,6419,6326,6080,5968,5935,5802,5745,5584,5678,5565,5415,5480,5578,5645,5728,5688,5588,5585,5570,5560,5678,5720,5700,5431,5357,5264,5275,5236,5112,5087,4965,4965,4951,5104,4989,5009,5170,5055,4995,5016,4848,4849,4831,4702,4558,4434,4346,4327,4244,4076,3854,3625,3646,3555,3540,3414,3288
,Jharkhand,India,4824,5728,5888,6538,7060,7723,8561,8648,9049,9017,8923,8816,9123,8811,8658,8731,7828,7856,8137,8112,8451,8708,9638,9410,9527,9756,9736,9805,10238,10335,11096,11090,11357,11577,14096,15256,14677,15150,15549,15005,14410,14588,15438,15726,15447,15180,14844,14336,14336,14118,14138,13703,13924,13548,13791,13504,13280,12882,12841,12533,12426,12433,12126,11942,11596,11482,11243,10939,10936,10436,10027,9759,9272,8819,8362,8167,7776,7617,7191,6892,6543,6576,6502,6220,6180,6206,6122,6055,5966,5844,5666,5474,5363,5294,5196,5302,5229,5119,5021,4814,4685,4639,4566,4471,4251,4042,4009,3668,3291,3116,2952,2754,2669,2637,2600,2594,2430,2289,2202,2242,2160,2169,2162,2154,2138,2016,2016,1907,1926,1938,1845,1796,1759,1753,1739,1690,1694,1610,1571,1581,1578,1585,1629,1707,1718,1708,1675,1635,1633,1595,1587,1598
,Karnataka,India,61827,67456,69708,72013,73227,74598,74477,73854,73966,75076,77694,79773,80981,79916,79614,80351,78345,79209,81284,81528,80659,79798,81113,82165,83082,82693,83567,81230,82429,83627,85006,86366,86465,88110,87254,91018,94478,96117,99120,99636,99285,97020,96937,99489,101556,98345,97834,99222,99222,98555,101645,103650,101148,98583,98062,95354,93172,94671,95568,98493,101801,104743,104067,107756,107635,110431,112005,112802,115593,115496,115170,116172,117162,118870,120948,120289,115795,113478,114006,113557,112446,110666,109283,106233,103964,100459,92946,89502,86768,81069,75442,71349,68180,64499,59518,55036,50611,44824,40414,35712,33114,33338,33339,33697,32955,31082,30762,29489,28045,27984,27165,26122,25342,25165,25188,24771,24733,24887,24727,24631,24909,25335,25398,24776,24522,23298,23298,24169,24708,25065,24978,25400,24786,25034,23075,19225,18612,18273,17428,16084,15664,15495,15224,15399,14389,14516,14020,14012,13755,13629,13527,13413
,Kerala,India,9619,10364,10364,10517,10886,11366,11511,11570,11524,12019,12451,12152,12391,12784,12770,13096,13891,14146,14944,15365,15946,16333,17442,18184,18736,19601,20394,20387,21296,22408,22737,23176,23342,23719,23553,22578,21989,21582,21334,21867,22743,22133,23280,24616,26292,27944,28870,30140,30140,31226,32775,34380,35795,37535,39484,39354,40453,42858,45993,48967,52753,56786,57957,61869,67140,72418,77564,80900,84579,84958,87823,92246,90664,91841,96003,96401,94473,95493,93925,94609,95101,96100,95299,92831,92023,93527,93393,95760,97520,96688,93848,92266,93369,91889,90671,91297,89783,86792,84826,85108,84203,83324,83377,81940,79528,78812,78538,77931,77508,77046,74922,71046,70191,69516,68352,67954,66982,65982,64292,64539,65234,64615,64014,64964,64719,62025,62025,61587,61342,61535,61531,61063,59607,59873,60066,59663,59528,60177,59588,57790,57909,58339,58311,59043,60558,61768,60670,61635,62974,63328,64203,63927
,Ladakh,India,236,261,277,302,347,351,369,400,421,411,411,416,457,471,506,528,558,567,592,578,584,598,633,623,665,720,765,790,847,846,825,798,826,847,773,720,743,766,815,834,850,818,856,778,775,803,841,869,869,938,953,972,987,993,1013,1047,1028,1038,1022,998,1018,1013,1030,1030,1064,1067,1094,1101,1106,1166,1195,1228,1299,1038,1022,980,961,969,979,1018,915,933,917,880,841,848,842,788,790,736,691,689,642,627,627,656,583,610,664,702,752,784,816,765,846,920,930,971,989,978,922,944,930,924,1000,948,912,928,859,854,886,961,904,885,878,809,809,862,859,860,884,856,761,791,819,774,797,763,649,614,625,536,497,473,423,354,309,270,237,246,209,217
,Lakshadweep,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Madhya Pradesh,India,7978,8357,8454,8668,8769,9099,9286,8756,8741,8716,8715,8827,9009,9202,9105,9317,9718,9928,9986,10312,10232,10521,10717,10782,10928,11261,11510,11944,12225,12336,12422,12714,13117,13592,13914,14072,14337,14888,15474,15688,16115,16961,17205,17702,18433,18992,19840,20487,20487,21620,22136,21631,21605,21964,22300,22542,22646,22812,22744,22198,22228,22431,21912,21317,20997,20473,20124,19807,19372,18757,18141,17522,16788,16168,15612,15177,14932,14661,14432,14157,13928,13698,13281,12996,12507,12386,12146,11761,11477,11237,10857,10353,10094,9689,9294,8929,8538,8298,8044,7854,7766,7676,7736,7928,8050,8149,8328,8672,8876,9005,9146,8996,9060,9338,9800,10402,11192,11765,12336,12979,13742,14199,14677,14981,14974,14771,14771,14019,13887,13641,13532,13391,13443,13280,13221,13226,13092,12947,12837,12803,12516,12330,12156,11876,11446,11318,11054,10994,10766,10676,10461,10329
,Maharashtra,India,147896,146433,148454,150966,149520,148843,147324,142458,146268,146612,145889,147355,145865,148042,148860,147820,150105,151865,156719,158705,155579,156920,160728,162806,164879,169833,171859,168443,166239,173195,178561,181050,185467,193889,194399,198866,202048,205774,211325,221012,236208,237292,243809,253100,261798,271934,280138,290716,290716,292174,297506,302135,301273,297866,291630,275017,272809,273883,275404,273190,269535,273646,265455,260789,259462,259440,261313,258548,255722,252721,247468,244976,242438,236947,221615,221637,212905,205884,196761,192936,190192,185750,183456,174246,174755,159346,150510,144426,140702,141001,134657,132069,130286,128149,125971,124142,125672,119352,117168,113645,107358,103007,100068,97296,100488,93400,89018,85583,85045,86470,85889,85363,82904,81207,80728,79268,80878,82521,82915,84238,85488,87014,89025,90965,92062,91623,91623,89611,86612,84938,83931,81162,76852,74460,74315,73001,74408,74638,75202,73481,72458,68476,64053,61471,62218,63867,60593,59502,55702,56022,57955,59223
,Manipur,India,690,819,829,927,1051,1087,1147,1197,1224,1304,1530,1697,1698,1720,1801,1739,1804,1825,1939,1921,1936,1958,1973,1905,1768,1655,1608,1626,1608,1731,1743,1759,1746,1845,1894,1903,1871,1803,1765,1872,1820,1710,1683,1774,1633,1533,1584,1638,1638,1745,1751,1841,1926,1946,2070,2113,2333,2206,2106,2126,2306,2359,2431,2642,2456,2402,2336,2497,2576,2696,2680,2805,2877,2858,2608,2731,2756,2867,3076,3193,3361,3587,3606,3748,3882,3846,4101,4083,4165,4166,4223,4246,4233,4308,4303,3472,3514,3568,3597,3698,3786,3608,3223,3107,3101,3043,3050,3115,3068,3084,3057,2993,2918,2828,2886,2896,2972,3146,3038,3175,3248,3245,3252,3283,3236,3198,3198,3162,3070,2951,2903,2919,2919,2919,2915,2970,2998,3057,3074,2146,2085,1937,1872,1835,1750,1663,1568,1458,1459,1362,1352,1301
