Admin2,Province/State,Country/Region,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020
,Meghalaya,India,547,572,588,603,599,605,633,582,594,640,590,594,566,610,621,656,640,641,690,693,733,766,806,925,963,1035,1133,1179,1178,1168,1222,1272,1238,1284,1196,1193,1186,1220,1252,1374,1433,1457,1343,1355,1434,1534,1570,1623,1623,1818,1902,1983,1976,2038,2111,2169,2047,2060,1977,1772,1515,1480,1448,1476,1615,1750,1755,2083,2209,2217,2371,2411,2369,2424,2437,2478,2434,2367,2339,2445,2493,2295,2151,2069,2020,1870,1661,1631,1574,1605,1514,1411,1364,1326,1170,1019,1055,1009,971,959,989,984,995,1034,1024,961,962,1045,1028,1014,971,933,734,753,801,888,925,894,895,893,915,947,917,858,768,763,763,686,648,630,654,664,621,602,534,580,594,641,730,753,690,687,686,586,557,499,432,430,299,283,294,248
,Mizoram,India,191,183,174,165,215,224,235,222,251,251,277,297,322,300,325,319,306,309,421,418,417,481,489,493,483,494,459,492,503,494,474,494,424,422,420,408,359,369,363,344,380,379,378,442,583,589,591,598,598,558,567,585,575,588,583,680,690,618,681,546,549,535,499,410,420,328,344,348,313,291,261,231,220,188,191,174,156,119,112,108,112,108,105,129,145,167,184,198,249,290,315,374,417,435,437,461,433,444,516,521,515,545,562,476,498,529,552,568,573,569,516,524,504,487,511,491,485,463,502,442,441,431,434,392,381,343,343,291,235,217,220,202,205,199,204,202,197,192,186,173,179,171,164,160,158,154,153,145,140,146,134,128
,Nagaland,India,811,913,936,1053,1186,1282,1467,1741,1807,1755,1826,1785,1869,2030,2032,1997,2021,2116,2011,1964,-1183,1848,1844,1654,1537,1460,1383,1309,1132,1158,1040,946,925,887,874,793,785,733,736,726,657,525,496,578,834,1134,1215,1172,1172,1269,1261,1193,1213,1206,1184,1052,1072,1119,1088,1083,1027,1042,1002,1037,1080,1083,1090,1155,1226,1155,1185,1200,1155,1215,1238,1259,1409,1513,1478,1453,1471,1530,1583,1653,1658,1683,1799,1838,1817,1871,1838,1865,1845,1763,1598,1554,1501,1365,1240,1146,1058,1000,1074,988,944,889,841,789,727,807,920,1013,1138,1255,1296,1344,1375,1410,1444,1473,1467,1402,1222,1221,1090,928,928,723,699,481,514,547,579,631,592,666,632,610,634,593,595,597,547,554,538,496,462,417,377,305,274,274
,Odisha,India,9371,10077,10463,11182,12018,12761,13016,12982,13055,13594,13605,13692,13870,14148,13694,13888,14438,14830,16066,17430,18161,18856,19814,21063,21824,22861,23715,24135,24333,24348,25215,26386,26736,27219,25758,25288,25193,25538,25816,25909,27121,27938,28628,29255,30529,30450,30999,31539,31539,32267,32405,33026,33092,33202,33504,34033,34377,34547,35092,34897,34476,35006,34211,33367,32577,31795,31331,30301,29504,28006,26846,26368,26184,25460,24414,23602,23430,22892,22716,22387,21660,20997,20392,19619,18885,18087,17857,17255,16322,15868,15331,14555,14068,13764,13500,13047,12930,12783,12510,12452,12363,12201,11873,11981,11663,11189,11054,10762,10264,9880,9270,9270,8018,7568,7400,7040,6790,6508,6246,6226,6212,6102,5774,5510,5317,4921,4921,4439,4239,3969,3768,3585,3339,3159,3098,2978,2953,2879,2881,2820,2724,2768,2738,2729,2720,2750,2801,2728,2785,2720,2636,2595
,Puducherry,India,1109,1256,1292,1323,1357,1445,1515,1552,1700,1743,1873,1989,2094,2180,2277,2609,2750,2880,3024,3179,3288,3364,3309,3521,3517,3654,3706,3753,3981,4264,4483,4745,4834,4938,4849,4851,4936,5042,5210,5161,5086,4856,4831,4770,4794,4878,4847,4878,4878,4674,4770,4744,4736,4785,4908,4659,4757,4853,5097,5214,5327,5239,5014,4933,4949,4994,5054,4874,4787,4513,4522,4680,4727,4803,4719,4695,4617,4572,4525,4551,4524,4420,4277,4152,4101,4026,4039,3975,3912,3804,3758,3741,3686,3720,3739,3697,3169,2756,2445,2129,1830,1640,1212,1170,1086,1071,1077,1071,1073,1054,984,902,843,705,670,621,602,559,527,489,540,544,514,519,480,460,460,432,444,427,419,372,392,388,370,374,367,346,337,307,297,299,307,316,339,345,332,360,350,364,349,355
,Punjab,India,4387,4372,4577,4999,5583,5964,6203,6062,6422,6715,7351,7486,7998,8550,8463,9022,9391,9954,10407,10963,11653,11740,12460,13830,14443,15305,14165,13798,14254,14640,15608,15063,15409,15375,15512,15849,15629,15554,15731,15870,16156,16640,16230,17065,18088,19096,19384,19787,19787,21154,21022,21568,21662,22399,22278,21661,21288,21230,20679,19937,19483,18556,17746,16824,16814,15763,14935,14289,13577,12895,11982,11563,10775,10153,9752,9275,8576,8212,7760,7090,6592,6230,5735,5307,4895,4808,4466,4327,4277,4217,4219,4089,4239,4266,4101,4257,4195,4183,4226,4471,4621,4882,4827,4910,4934,5038,5246,5439,5771,5771,5769,5601,5821,5937,6194,6504,6561,6724,6687,6834,7129,7479,7719,7834,7888,7842,7842,7694,7724,7785,7727,7896,7604,7274,7325,7423,7286,7091,7076,6881,6502,6241,6045,5981,5837,5618,5408,5053,4938,4812,4707,4436
,Rajasthan,India,10124,10745,11097,11589,11979,12391,12802,13115,12678,13108,13195,13387,13473,13810,13677,13630,14762,13949,13863,13816,14089,14119,14416,14508,14525,14176,14330,14388,14219,14099,14425,14320,14776,14091,13825,13970,12919,13912,14790,14996,14958,14958,15090,15108,15702,15859,16582,16654,16654,16761,17049,17495,17717,17997,18184,18245,18614,18992,18993,19030,19355,19700,20043,20376,20581,20807,20942,21075,21154,21215,21294,21351,21382,21398,21354,21412,21671,21924,21711,21587,21381,21255,21139,20893,20254,19185,18341,17775,17100,16668,16233,15949,15708,15554,15251,15102,15255,15889,16385,16323,16301,16277,16327,16376,16542,16725,16993,17352,17657,18053,18337,18684,19033,19478,20168,20923,21951,23190,24116,25197,26320,27302,28183,28751,28758,28653,28653,26710,25544,24318,23176,22427,21671,20875,19792,19030,17721,16821,16629,16200,15510,14510,13647,13058,12779,12422,11961,11601,11648,11671,11700,11488
,Sikkim,India,380,397,395,407,380,368,390,483,496,475,447,389,371,399,378,379,349,456,486,493,485,450,440,460,499,507,529,509,418,407,388,389,404,404,424,429,431,430,509,549,534,538,538,553,532,532,541,567,567,464,480,463,422,426,469,513,556,575,607,679,705,692,698,667,672,636,642,640,649,598,580,570,545,504,450,384,384,344,325,312,295,275,272,263,254,253,254,242,266,246,245,262,263,268,254,251,234,239,271,254,240,283,314,273,268,305,291,264,293,296,284,293,312,300,296,265,289,278,230,238,236,268,264,288,268,248,248,300,320,358,367,387,371,363,368,368,363,364,356,303,294,306,294,304,401,374,360,378,397,420,417,517
,Tamil Nadu,India,54896,57490,57962,57968,56738,56998,56698,55152,54184,53486,52759,53481,53336,53099,52810,52929,53499,53716,54213,54019,54122,53860,53155,53283,53413,53710,53541,53282,52128,52362,52364,52506,52726,52721,52578,52379,52380,52070,51633,51583,51458,51215,50213,49203,48482,47918,47110,47012,47012,46806,46633,46610,46506,46453,46703,46495,46350,46249,46405,46386,46336,46341,46306,46281,46263,46369,46294,46255,46120,45881,45279,45135,44437,44197,44150,44095,43747,43239,42566,41872,40959,40192,39121,38093,36734,35480,34198,32960,31787,30606,29268,27734,26356,24886,23532,22164,20994,19504,19201,19154,19061,19002,18966,18894,18825,18709,18655,18395,17748,17154,16441,15765,15085,14470,13907,13404,12916,12542,12245,11875,11520,11173,11109,11073,11052,10997,10997,10999,10988,10938,10882,10688,10695,10588,10491,10392,10299,10208,10115,10039,9951,9880,9829,9781,9692,9593,9495,9391,9314,9217,9129,9039
,Telangana,India,13753,1786,1723,16796,17754,18547,18708,19568,20358,21417,22568,22869,22528,22628,22596,22736,23438,23379,22542,21420,21024,20990,21509,21687,22386,22908,22919,23737,25685,27600,28941,30008,31284,31299,31699,32341,32537,32994,32915,32553,31635,31670,31654,32106,32195,32005,31607,30532,30532,30401,30443,30673,30636,30573,29636,29649,29873,30037,30387,30334,30234,29673,29477,29326,29058,28620,28328,27901,27052,26644,26551,26368,26374,26104,25713,24514,24208,23728,23203,23315,22774,22050,21098,20686,20449,20183,20377,19937,19465,18611,17890,17916,17979,18456,18409,18241,17630,17742,18100,18656,19272,19936,19890,19239,18581,18027,17323,17094,16404,15425,14385,13732,13068,12682,12515,12070,11643,11227,11047,10886,10784,10839,10637,10490,10022,9627,9627,8999,8826,8498,8125,7778,7696,7661,7497,7604,7670,7630,7380,7272,7183,7172,7040,6942,6888,6590,6569,6627,6815,6839,6618,6579
,Tripura,India,1565,0,0,1630,1747,1742,1802,1873,1901,1957,1878,1929,1723,1673,1601,1647,1706,1796,1855,1859,1943,2083,2205,2373,2240,2448,2488,2703,2866,3126,3486,3726,3977,4108,4366,4737,5133,5475,5888,6220,6311,6641,6903,7086,7383,7365,7584,7429,7429,7498,7498,7162,7107,6983,6566,6700,6599,6551,6378,6148,6066,5689,5874,5765,5691,5480,5366,5171,4858,4876,4621,4389,4197,4039,3951,3742,3738,3500,3318,3105,2966,2917,2672,2609,2455,2339,2229,2055,1992,1845,1796,1754,1696,1580,1493,1400,1270,1321,1322,1339,1327,1286,1302,1219,1254,1289,1198,1167,1143,1105,1043,1044,998,997,959,917,870,796,827,790,767,741,703,649,595,592,592,552,517,479,451,414,427,403,399,373,355,352,330,314,306,291,270,265,257,234,213,207,192,184,169,157
,Unknown,India,0,29997,32649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,3100,0,0,0,0,0,0,0,340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uttar Pradesh,India,26204,2983,2993,34968,36037,38023,40191,41222,41973,43654,44563,46177,47890,47878,48998,49347,49709,50426,51437,51537,50893,50242,49645,48511,47785,48291,49242,49288,49575,51317,52309,52651,53360,54666,54788,55538,56459,57598,58595,59963,61625,62144,63256,64028,66317,67321,67955,68122,68122,67335,67002,68235,67825,66874,65954,64164,63148,61698,61300,59397,57086,55603,53953,52160,50883,50883,49112,47823,46385,45024,44031,43154,42552,41287,40210,40019,38815,38082,36898,36295,35263,34420,32896,31495,30416,29364,29131,28268,27681,27317,26652,26267,25487,24858,24431,23768,23323,23035,22538,22676,23150,23132,22991,23249,22965,22846,22562,22949,23095,23367,22967,22603,22166,21954,22757,23357,23471,23806,23776,23928,24876,25422,25639,25243,24575,24099,24099,22797,22990,22665,22245,22160,21732,21374,20658,20801,20473,20091,19729,18918,18382,17801,18150,17955,17593,17245,16822,16691,16378,16099,16159,15875
,Uttarakhand,India,2587,19652,19900,2935,3034,3070,3172,3066,2923,3027,3058,3322,3373,3586,3826,4059,4145,3966,4041,3923,3850,4073,3915,4016,4215,4350,4444,4410,4600,4806,5274,5502,5735,5912,5908,6042,6442,6871,7188,7575,7640,7965,8261,8577,9106,9405,9781,10519,10519,10739,11068,11714,11293,12465,12455,12075,11831,11867,11507,10934,10856,10799,10066,9122,9111,9111,8504,8076,9089,8701,8414,8367,7849,7289,7321,7373,6976,6576,6145,5682,5692,5538,5728,5527,5364,5085,4897,4656,4542,4425,4080,3865,3696,3545,3634,3883,3914,3802,3705,3818,3680,3736,3890,3972,4149,3955,4251,4156,4307,4417,4565,4184,4165,4147,4133,3505,4082,4368,4298,4638,4658,4682,4812,4876,4970,5059,5059,4955,4967,4994,5176,5223,5234,5399,5456,5742,5934,6207,6293,6144,6089,6140,6062,6067,6074,6177,5584,5512,5507,5331,5510,5444
,West Bengal,India,19502,13753,13753,20233,20631,21108,21683,22315,22992,23829,24652,25486,26375,26031,25846,26003,26447,26850,27219,27299,27402,27535,27678,27696,27804,27900,28069,27694,27349,26954,26709,26349,25996,25657,25280,24822,24445,24039,23654,23390,23218,23216,23254,23341,23377,23461,23521,23624,23624,23942,24147,24336,24509,24648,24806,24898,24971,25101,25221,25374,25544,25723,25899,26064,26332,26332,26865,27130,27439,27717,27988,28361,28854,29296,29793,30236,30604,30988,31505,31984,32500,33121,33927,34584,35170,35579,36064,36471,36807,37017,37190,37172,37111,37094,36999,36886,36761,36576,36443,36246,35953,35557,35088,34566,34021,33444,32836,32185,31501,30792,29314,27897,27111,26296,25873,25599,25391,25207,25030,24880,24752,24670,24617,24537,24405,24298,24298,24166,24106,24045,23964,23894,23829,23750,23650,23451,23281,23034,22573,21384,20663,20143,19597,19065,18460,17771,16903,16248,15689,15193,14749,14108
