Admin2,Province/State,Country/Region,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021
,Puebla,Mexico,32243,32468,32611,32659,32706,32729,32814,32932,33112,33112,33458,33569,33717,33999,34138,34138,34506,34667,34747,34847,35054,35240,35411,35548,35656,35782,35934,36410,36601,36840,37110,37226,37378,37552,37769,38117,38311,38609,38705,38843,39033,39288,39582,39764,39965,40147,40405,40856,41259,41573,41881,42421,42655,42963,43071,43406,43809,44170,44520,44975,45214,45429,45919,46246,46889,47292,47849,48150,48610,49110,49110,50441,50980,51502,51980,52465,53071,53629,53925,54418,54673,54870,55071,55273,55273,55924,56322,56436,56586,56771,57269,57418,57837,58150,58357,58511,58820,59173,59472,59883,60127,60277,60333,60699,61071,61416,61703,62002,62136,62204,62397,62712,62934,63182,63401,63618,63673,63961,64242,64499,64686,64997,65148,65247,65331,65500,65747,65964,66165,66349,66425,66540,66773,67005,67157,67438,67551,67632,67774,67942,68277
,Queretaro,Mexico,15535,15723,15912,16041,16209,16230,16253,16271,16504,16504,17344,17734,18158,18696,19189,19189,19860,20165,20455,20787,21302,21608,21894,22355,22638,23021,23247,23734,24292,24648,24910,25231,25395,25706,26047,26481,26819,27177,27305,27488,27745,28076,28353,28554,28712,28933,29230,29762,30166,30492,30692,30860,31037,31214,31545,31861,32238,32592,32946,33214,33407,33755,34027,34363,34996,35535,35910,36240,36754,37352,37352,39114,40026,40595,40953,41764,42565,43149,43847,44430,44646,44952,45199,45571,45571,46517,46935,47159,47469,47890,48461,48849,49195,49563,49704,49858,50134,50422,50718,51002,51343,51473,51594,51983,52350,52680,52998,53320,53428,53588,53946,54226,54572,54967,55321,55407,55536,55878,56245,56602,56960,57201,57255,57375,57493,57769,58052,58353,58646,58711,58811,59011,59202,59429,59679,59894,59974,60037,60243,60489,60708
,Quintana Roo,Mexico,11946,11969,11998,12011,12020,12025,12050,12069,12093,12093,12168,12203,12230,12277,12318,12318,12449,12474,12513,12540,12578,12640,12693,12756,12795,12825,12853,12867,12910,12934,13003,13053,13079,13101,13143,13192,13262,13339,13395,13424,13466,13486,13562,13610,13633,13668,13698,13739,13746,13827,13937,13935,13982,14074,14112,14139,14194,14261,14375,14400,14471,14498,14503,14584,14700,14802,14902,15002,15139,15262,15262,15622,15763,15912,16014,16086,16219,16296,16437,16517,16592,16642,16653,16695,16695,16878,16952,17004,17014,17037,17073,17124,17183,17219,17269,17272,17311,17389,17429,17476,17507,17526,17545,17577,17673,17728,17752,17794,17791,17788,17798,17860,17898,17928,17955,17981,17984,18013,18063,18094,18127,18174,18188,18193,18201,18253,18313,18352,18391,18415,18421,18471,18532,18573,18610,18661,18677,18691,18742,18806,18838
,San Luis Potosi,Mexico,28798,29045,29320,29484,29579,29695,29765,29807,29946,29946,30491,30787,31003,31198,31320,31320,31802,31969,32183,32351,32601,32787,32961,33128,33446,33635,33678,33701,33990,34115,34253,34439,34625,34780,34860,34963,35082,35269,35489,35561,35723,35810,35905,36078,36217,36275,36384,36542,36694,36809,36894,37169,37291,37375,37429,37695,37944,38251,38818,39072,39211,39630,39987,40441,40925,41386,41761,41969,42429,42749,42749,43729,43768,44165,44458,44854,45185,45658,46021,46564,46901,47182,47326,47624,47624,48378,48855,49044,49136,49401,49626,49848,50056,50326,50455,50552,50723,50907,51175,51407,51604,51777,51811,51905,52121,52387,52527,52683,52750,52767,52882,52998,53137,53258,53390,53482,53556,53706,53853,54005,54244,54367,54423,54441,54469,54586,54669,54738,54843,54881,54908,54993,55091,55181,55168,55005,55037,55058,55146,55230,55351
,Sinaloa,Mexico,19059,19116,19176,19234,19290,19294,19368,19403,19460,19460,19642,19796,19979,20124,20213,20213,20372,20425,20515,20567,20623,20693,20766,20843,20864,20907,20988,21045,21118,21228,21276,21297,21354,21416,21436,21562,21627,21705,21738,21844,21899,22038,22097,22165,22176,22242,22292,22304,22397,22541,22609,22651,22740,22746,22829,22942,23093,23210,23362,23419,23506,23649,23784,23939,24071,24246,24386,24494,24646,24927,24927,25289,25444,25602,25752,25886,26026,26182,26302,26485,26553,26596,26696,26723,26723,26914,27033,27075,27130,27243,27331,27433,27593,27710,27759,27784,27925,28025,28113,28215,28338,28371,28399,28491,28534,28621,28626,28714,28733,28748,28819,28870,28956,29012,29071,29114,29129,29244,29310,29379,29457,29532,29553,29572,29572,29643,29728,29815,29890,29902,29920,30009,30091,30141,30215,30262,30270,30277,30360,30497,30565
,Sonora,Mexico,36742,36954,37078,37095,37248,37405,37483,37637,37812,37812,38156,38425,38557,38763,38899,38899,39336,39559,40026,40228,40640,41004,41287,41588,41681,42092,42306,42702,42762,43079,43322,43415,43495,43555,43717,44065,44350,44543,44753,45057,45180,45498,45819,46100,46113,46342,46831,47120,47384,47547,47950,48171,48411,48635,48918,49172,49358,49828,50125,50495,50847,51195,51610,51855,52281,52699,52853,53056,53608,53996,53996,54874,55275,55472,55583,55853,56153,56533,56947,57342,57635,57772,58011,58292,58292,58900,59175,59309,59410,59549,59721,59864,60000,60182,60307,60416,60520,60678,60812,60921,61003,61066,61128,61213,61318,61423,61532,61606,61673,61758,61865,61970,62104,62173,62276,62332,62388,62501,62645,62741,62869,62983,63029,63081,63095,62928,63013,63123,63199,63240,63293,63431,63539,63679,63819,63940,63969,64001,64103,64214,64305
,Tabasco,Mexico,32409,32484,32585,32671,32745,32798,32845,32967,33045,33045,33236,33335,33442,33534,33642,33642,33868,34039,34239,34401,34545,34725,34930,35128,35236,35352,35490,35680,36012,36326,36669,37020,37249,37473,37537,37856,38100,38358,38555,38750,38969,39176,39459,39743,39935,40155,40277,40486,40728,41048,41385,41564,41747,41886,42013,42400,42741,43045,43399,43733,43952,44260,44533,44832,45154,45447,45691,45903,46146,46396,46396,46915,47254,47553,47804,48082,48292,48541,48787,49031,49233,49425,49591,49839,49839,50272,50502,50687,50813,51079,51245,51425,51597,51779,51924,52007,52093,52269,52422,52557,52688,52815,52880,53036,53170,53316,53476,53610,53736,53765,53823,53995,54165,54323,54467,54585,54677,54819,54944,55072,55211,55347,55471,55530,55553,55671,55830,55948,56073,56179,56213,56342,56419,56562,56689,56785,56858,56912,57029,57146,57244
,Tamaulipas,Mexico,30682,30762,30844,30844,30908,30908,30931,30948,31145,31145,31242,31334,31633,32088,32221,32221,32512,32618,32631,32747,33017,33152,33283,33353,33373,33430,33520,33700,33811,33976,34075,34151,34229,34374,34433,34557,34678,34794,34813,34862,35084,35243,35313,35423,35438,35653,35683,35868,35933,36108,36135,36164,36174,36450,36582,36634,36715,36717,37332,37594,38237,38704,39138,39512,39843,40125,40188,40217,40801,41197,41197,42067,42342,42447,42525,43037,43217,43613,43912,44192,44218,44361,44479,44695,44695,45039,45181,45270,45332,45493,45601,45715,45986,46159,46232,46262,46287,46460,46556,46625,46714,46755,46779,46877,46949,47056,47153,47247,47276,47301,47454,47545,47655,47759,47857,47905,47931,48016,48087,48170,48263,48326,48397,48457,48487,48604,48684,48794,48888,48912,48936,49020,49121,49346,49439,49519,49537,49549,49618,49683,49912
,Tlaxcala,Mexico,7487,7506,7515,7503,7546,7548,7557,7589,7600,7600,7652,7686,7697,7766,7901,7901,8170,8116,8136,8180,8219,8228,8282,8318,8348,8357,8383,8444,8512,8545,8591,8638,8670,8695,8745,8812,8864,8928,8994,9001,9064,9085,9177,9230,9251,9335,9333,9454,9545,9719,9931,9942,10060,10089,10194,10259,10421,10595,10769,10896,10915,10982,11069,11259,11442,11560,11672,11675,11762,11871,11871,12098,12188,12321,12344,12526,12641,12734,13011,13142,13237,13318,13349,13438,13438,13563,13696,13754,13772,13845,13949,14049,14138,14232,14286,14314,14452,14535,14603,14634,14686,14717,14731,14831,14883,14943,14981,15021,15054,15070,15084,15141,15182,15239,15277,15324,15328,15361,15405,15443,15478,15521,15537,15551,15565,15597,15649,15761,15825,15861,15890,15909,15957,16003,16043,16109,16121,16134,16148,16180,16250
,Unknown,Mexico,-736197,-741340,-745361,-750190,-754200,-757951,-762025,-766361,-770728,-770728,-779104,-784693,-791516,-798037,-803581,-803581,-803581,-818397,-823586,-829817,-836567,-843231,-852719,-859643,-866186,-873555,-881050,-889168,-896130,-904042,-911965,-918681,-927754,-938089,-945673,-953762,-962397,-971115,-978002,-987328,-996302,-1005248,-1015256,-1023916,-1031864,-1038766,-1048539,-1058429,-1066771,-1074795,-1083768,-1090905,-1098431,-1105834,-1113137,-1119968,-1127471,-1134877,-1143254,-1150422,-1160373,-1168354,-1176658,-1185621,-1199810,-1212403,-1223108,-1237321,-1251782,-1264780,-1264780,-1291940,-1306138,-1320448,-1335876,-1348660,-1362525,-1376073,-1390906,-1403064,-1412393,-1425748,-1436482,-1450237,-1450237,-1472151,-1482138,-1490077,-1501580,-1511199,-1519572,-1528304,-1535786,-1542991,-1548174,-1555923,-1563992,-1571071,-1577838,-1584704,-1590696,-1595320,-1602024,-1607869,-1614614,-1620008,-1625328,-1630002,-1633900,-1639943,-1645312,-1650230,-1655549,-1660786,-1666658,-1670431,-1675996,-1681336,-1685996,-1691093,-1696739,-1701216,-1705743,-1711931,-1716135,-1720430,-1724794,-1729269,-1733089,-1736159,-1740254,-1744262,-1748317,-1752125,-1755798,-1759123,-1761786,-1765244,-1765244,-1765244,-1765244
,Veracruz,Mexico,33000,33025,33117,33146,33222,33231,33248,33288,33272,33272,33536,33715,33770,33765,33861,33861,34151,34078,34191,34208,34223,34195,34344,34495,34579,34630,34738,34752,34742,34806,35001,35080,35211,35271,35320,35401,35479,35629,35767,35898,35930,35959,36022,36067,36123,36171,36240,36464,36651,36789,36858,36967,37039,37155,37163,37337,37401,37798,38167,38466,38778,38945,38986,39221,39540,39822,40112,40358,40473,40700,40700,41473,41822,42084,42401,42554,42697,43032,43296,43629,43797,44000,44063,44208,44208,44456,44735,44873,44958,45021,45046,45196,45334,45404,45576,45758,45813,45899,46022,46186,46310,46353,46440,46525,46608,46728,46849,46925,46982,47045,47105,47171,47244,47312,47408,47478,47518,47534,47590,47671,47743,47851,47885,47949,47978,48046,48123,48199,48302,48337,48375,48445,48505,48619,48692,48792,48815,48862,48882,48942,48993
,Yucatan,Mexico,20534,20598,20710,20779,20816,20844,20878,20934,20950,20950,21154,21252,21312,21407,21496,21496,21727,21846,21956,22076,22162,22277,22408,22518,22578,22609,22662,22771,22842,22922,22987,23036,23089,23175,23286,23385,23523,23633,23722,23803,23841,23890,23961,24022,24069,24129,24182,24243,24331,24382,24425,24480,24551,24623,24675,24775,24883,24988,25014,25107,25213,25319,25427,25560,25684,25750,25823,25908,25992,26145,26145,26491,26622,26717,26806,26895,27010,27152,27286,27393,27478,27527,27568,27705,27705,27942,28000,28050,28087,28143,28179,28288,28401,28491,28558,28589,28649,28780,28865,28967,29066,29109,29133,29202,29293,29391,29503,29604,29688,29723,29704,29817,29932,30050,30141,30175,30202,30317,30412,30511,30610,30698,30735,30769,30792,30897,30947,31029,31137,31179,31202,31284,31366,31440,31517,31576,31604,31622,31690,31755,31835
,Zacatecas,Mexico,11989,12109,12213,12381,12489,12489,12553,12602,12654,12654,13455,13741,14096,14416,14659,14659,15227,15366,15487,15620,15902,16110,16363,16506,16668,16735,16823,17016,17155,17305,17459,17579,17641,17690,17862,18003,18102,18295,18349,18461,18517,18682,18787,18881,18898,18951,18988,18983,19123,19279,19432,19433,19517,19558,19634,19834,20023,20132,20363,20488,20563,20624,20787,20927,21093,21220,21331,21364,21473,21619,21619,21928,22102,22225,22296,22361,22479,22654,22862,23045,23117,23166,23185,23258,23258,23523,23651,23746,23773,23816,23893,24026,24106,24177,24232,24270,24286,24377,24459,24555,24627,24658,24689,24709,24761,24837,24893,24932,24975,24987,25036,25114,25169,25232,25303,25328,25343,25402,25455,25511,25543,25583,25597,25600,25603,25714,25745,25784,25797,25814,25831,25881,25966,26029,26075,26114,26135,26155,26192,26254,26309
