Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Caldas,Capital District,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,Norte de Santander,Putumayo,Quindio,Risaralda,San Andres y Providencia,Santander,Sucre,Tolima,Unknown,Valle del Cauca,Vaupes,Vichada
Country/Region,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
06-08-2020,73,10,0,246,188,14,8,335,2,0,6,12,12,11,38,0,0,13,6,48,11,66,14,2,5,10,0,6,2,12,0,223,0,0
06-09-2020,73,10,0,246,188,14,8,335,2,0,6,12,12,11,38,0,0,13,6,48,11,66,14,2,5,10,0,6,2,12,0,223,0,0
06-10-2020,74,10,0,277,194,14,8,344,2,0,7,12,12,13,40,0,0,13,6,49,11,68,14,2,5,10,0,7,2,12,0,233,0,0
06-11-2020,74,10,0,302,204,14,8,358,2,0,7,12,12,13,40,1,0,13,8,51,12,70,14,2,5,11,0,7,3,13,0,239,0,0
06-12-2020,76,10,0,330,204,14,8,362,2,0,8,14,16,13,41,1,0,13,8,55,12,72,14,2,5,11,0,8,5,13,0,245,0,0
06-13-2020,76,10,0,356,210,14,8,382,2,0,8,14,16,13,41,1,0,13,8,55,12,75,14,2,5,11,0,9,5,13,0,250,0,0
06-14-2020,78,10,0,377,211,14,8,388,2,0,8,14,18,13,44,1,0,13,8,57,12,77,14,2,5,11,0,9,8,13,0,255,0,0
06-15-2020,79,11,0,434,224,14,8,416,2,0,8,17,21,16,46,1,0,13,8,65,12,80,15,3,5,11,0,9,11,15,0,264,0,0
06-16-2020,79,11,0,434,224,14,8,416,2,0,8,17,21,16,46,1,0,13,8,65,12,80,15,3,5,11,0,9,11,15,0,264,0,0
06-17-2020,79,13,0,467,227,14,8,439,2,0,9,17,22,17,46,1,0,13,8,65,12,81,15,3,5,11,0,10,12,17,0,274,0,0
06-18-2020,79,13,0,500,236,14,8,448,2,0,9,17,24,17,46,1,0,13,8,66,12,84,15,3,5,11,1,10,12,17,0,284,0,0
06-19-2020,79,13,0,543,243,16,8,463,2,0,9,17,27,21,47,1,0,13,8,69,12,87,15,4,5,11,1,10,12,17,0,293,0,0
06-20-2020,85,14,0,590,253,16,8,475,2,0,9,19,27,21,47,1,0,13,8,77,12,89,15,4,5,11,1,10,15,17,0,304,0,0
